iter	RMSE
0	3.107015061
1	3.017697509
2	2.929973275
3	2.845470706
4	2.763000961
5	2.68277481
6	2.606143832
7	2.533012849
8	2.461229263
9	2.392148085
10	2.32357437
11	2.257131315
12	2.19319568
13	2.130577018
14	2.070299487
15	2.012201677
16	1.955758996
17	1.902457879
18	1.849813398
19	1.799825911
20	1.74972931
21	1.702329381
22	1.6559387
23	1.611027328
24	1.568313841
25	1.525581582
26	1.484195475
27	1.444483591
28	1.405662434
29	1.368667134
30	1.333366413
31	1.29925951
32	1.265770829
33	1.233423434
34	1.201723161
35	1.170989798
36	1.141372505
37	1.113097919
38	1.085715348
39	1.059643604
40	1.034057999
41	1.009097044
42	0.985382494
43	0.9623408801
44	0.9401144352
45	0.9191470338
46	0.8987216671
47	0.8789798069
48	0.8599687103
49	0.8417407822
50	0.8238250819
51	0.8072089591
52	0.7907535588
53	0.7751197267
54	0.7597760615
55	0.74522018
56	0.7311914396
57	0.7178733588
58	0.7050167655
59	0.6924883121
60	0.6803042512
61	0.6689689646
62	0.6578560147
63	0.6472363144
64	0.6372540873
65	0.6276797961
66	0.6185058016
67	0.6095979104
68	0.6012391075
69	0.5932622173
70	0.5855123784
71	0.578013888
72	0.5708845531
73	0.5639914634
74	0.5575706457
75	0.5515634336
76	0.5456270277
77	0.5398103
78	0.5345238351
79	0.5294801352
80	0.5242142198
81	0.5195135651
82	0.5151044246
83	0.5109481036
84	0.5068687896
85	0.5030780497
86	0.4992507295
87	0.4958789824
88	0.4924742707
89	0.489394842
90	0.4864716734
91	0.4837197129
92	0.481077404
93	0.4784326895
94	0.475940772
95	0.4734100315
96	0.4712712251
97	0.4693110441
98	0.467384965
99	0.4653289618
100	0.4635369857
101	0.4613944921
102	0.4594096497
103	0.457846145
104	0.4562444627
105	0.4543578101
106	0.4527141892
107	0.4509146382
108	0.449314096
109	0.447523019
110	0.4463469591
111	0.4454040069
112	0.4439909715
113	0.4422991605
114	0.440664015
115	0.439430005
116	0.4382397052
117	0.4371408174
118	0.436055118
119	0.4349992497
120	0.4342968683
121	0.4333936381
122	0.4326275386
123	0.4318890354
124	0.4308374713
125	0.4298810886
126	0.428886467
127	0.4280581191
128	0.4272837773
129	0.4265562997
130	0.4256492361
131	0.4248088164
132	0.4241951631
133	0.4234509173
134	0.4228388562
135	0.4222540223
136	0.421798239
137	0.421170102
138	0.4204973166
139	0.4201310756
140	0.4194849847
141	0.4191494385
142	0.4183243592
143	0.4177463133
144	0.4173082104
145	0.416883125
146	0.41627375
147	0.4157760487
148	0.4153771023
149	0.4149805622
150	0.4145022413
151	0.414022782
152	0.413598086
153	0.4133235729
154	0.413057192
155	0.4126964672
156	0.4123446703
157	0.4120000218
158	0.4117438191
159	0.4114484279
160	0.4110197766
161	0.4105331448
162	0.4102875581
163	0.4100229804
164	0.4096761853
165	0.4094234276
166	0.4087908275
167	0.4086295027
168	0.4083032486
169	0.4080156035
170	0.407632758
171	0.407583826
172	0.4071870398
173	0.4068397984
174	0.4065470562
175	0.4061941309
176	0.4058058958
177	0.4055827031
178	0.4051909326
179	0.4050426396
180	0.4048364974
181	0.4046248373
182	0.4045010903
183	0.4040710627
184	0.4039271686
185	0.4038127424
186	0.4036019377
187	0.4033715216
188	0.4032250626
189	0.4028929276
190	0.4026605462
191	0.4024533559
192	0.4022858696
193	0.4021985308
194	0.4019664965
195	0.4017253046
196	0.4016530351
197	0.4014933226
198	0.4013814513
199	0.4011097689
200	0.400936511
201	0.4006006353
202	0.4004313404
203	0.4000631912
204	0.3998982739
205	0.3995892674
206	0.3994947971
207	0.3993432633
208	0.3991225872
209	0.3988295098
210	0.3986508124
211	0.3985206493
212	0.3982542937
213	0.398131136
214	0.3977208883
215	0.3975014253
216	0.3973966476
217	0.3973237009
218	0.3971844539
219	0.3971334332
220	0.3970140453
221	0.3969501848
222	0.3968111074
223	0.3966040504
224	0.3965009898
