iter	MAE
0	3.086620005
1	2.993552169
2	2.903817569
3	2.815051849
4	2.730957826
5	2.647231236
6	2.566016495
7	2.487131272
8	2.410716326
9	2.337835162
10	2.265936283
11	2.19690917
12	2.131816109
13	2.068290019
14	2.005149899
15	1.944528073
16	1.886346528
17	1.828600689
18	1.772845099
19	1.719068642
20	1.666372036
21	1.616994086
22	1.568778008
23	1.522111245
24	1.476540145
25	1.432689923
26	1.389378746
27	1.347182638
28	1.306015295
29	1.26691176
30	1.230333062
31	1.193220426
32	1.157571659
33	1.124808601
34	1.091917149
35	1.060047874
36	1.030013952
37	1.001487825
38	0.9724123302
39	0.9443119918
40	0.9168798042
41	0.8909787771
42	0.8654455196
43	0.8408172079
44	0.816788971
45	0.794206007
46	0.7725471075
47	0.7510493921
48	0.7303034678
49	0.7104296557
50	0.6927144738
51	0.6754433393
52	0.6593588529
53	0.6445420595
54	0.6296577169
55	0.6149305964
56	0.6014138581
57	0.5875768261
58	0.5746172817
59	0.5616428324
60	0.549158045
61	0.5379853393
62	0.527418151
63	0.5180066587
64	0.5098755355
65	0.5022894996
66	0.4949811996
67	0.4884795826
68	0.4815900691
69	0.4751500956
70	0.4691580427
71	0.4634939817
72	0.4582352813
73	0.4530417234
74	0.4479820784
75	0.442944407
76	0.438105493
77	0.4334496411
78	0.4287253118
79	0.4246657179
80	0.420462353
81	0.4167542845
82	0.4130138327
83	0.4094001898
84	0.4061031285
85	0.4032704626
86	0.4008066168
87	0.3981336351
88	0.3957617712
89	0.3933899513
90	0.3913766499
91	0.389590764
92	0.3881217223
93	0.3865800445
94	0.385117627
95	0.3836901781
96	0.3823468762
97	0.3802362777
98	0.3784612244
99	0.3765970133
100	0.3753010908
101	0.3734543828
102	0.3717981841
103	0.3703430448
104	0.3694960604
105	0.367853747
106	0.3665584491
107	0.365067585
108	0.3637846955
109	0.362495106
110	0.361144386
111	0.3598670788
112	0.3584917024
113	0.3573694244
114	0.3561063432
115	0.3549975422
116	0.3539761196
117	0.3531424703
118	0.3522790759
119	0.3515215278
120	0.350677342
121	0.3500092222
122	0.3490247655
123	0.348268237
124	0.3475863839
125	0.3467455635
126	0.3461886755
127	0.3455786763
128	0.3448818813
129	0.3445284173
130	0.3438722119
131	0.343180153
132	0.3426319707
133	0.342353128
134	0.3422163781
135	0.3417972372
136	0.3412910411
137	0.3407159754
138	0.3404144422
139	0.3399990281
140	0.3391636919
141	0.3387857012
142	0.3383550476
143	0.3380140487
144	0.3376222119
145	0.3372031949
146	0.3368378734
147	0.3365813489
148	0.3363548742
149	0.3360180611
150	0.3357607083
151	0.3355353677
152	0.335022124
153	0.3345876827
154	0.3342237911
155	0.3339476271
156	0.3334467423
157	0.3329174931
158	0.3323575946
159	0.332057435
160	0.3317635045
161	0.3312815483
162	0.3309819371
163	0.330627424
164	0.3303347514
165	0.3299679284
166	0.3298457006
167	0.3292603162
168	0.3289108825
169	0.3286922428
170	0.3283909252
171	0.3280234717
172	0.3279782006
173	0.3277549779
174	0.3276530819
175	0.327460223
176	0.3272223097
177	0.3270416775
178	0.3268069553
179	0.3265250919
180	0.3263402135
181	0.3260324342
182	0.3257435297
183	0.3255533464
184	0.3251338519
185	0.3249079678
186	0.3246197592
187	0.3242473456
188	0.324040363
189	0.3238749178
190	0.3237789814
191	0.3236489306
192	0.3234162869
193	0.3232626116
194	0.3229497593
195	0.3225367589
196	0.3224067076
197	0.3223274657
198	0.3220833478
199	0.3219292847
200	0.3218108388
201	0.3216380706
202	0.3214891761
203	0.3213289975
204	0.3211448219
205	0.3210732034
206	0.3209635262
207	0.3207305807
208	0.3204498966
209	0.3201899565
210	0.3200017927
211	0.3198963603
212	0.3196880837
213	0.3195256218
214	0.3192744645
215	0.3191762549
216	0.3189698829
217	0.318818625
218	0.3186072607
219	0.3185313592
220	0.3183235658
221	0.3182272726
222	0.3179722226
223	0.3178691974
224	0.317736797
225	0.3176798712
226	0.3174514872
227	0.3173304297
228	0.3171720549
229	0.3170416417
230	0.3167978323
231	0.3165770488
232	0.3164532105
233	0.3162119301
234	0.3161158128
235	0.3159220532
236	0.3157904014
237	0.3157166204
238	0.3154354187
239	0.3153779999
240	0.3153123585
241	0.3150250731
242	0.3148277237
243	0.3146927746
244	0.3145942027
245	0.3145522457
246	0.3144703093
247	0.3143416874
248	0.3142053014
249	0.3140647801
250	0.3136541085
251	0.313598772
252	0.3134962084
253	0.313199912
254	0.3130867251
255	0.3128452584
256	0.3127140631
257	0.3126573186
258	0.3125463072
259	0.312388966
260	0.3123194676
261	0.3119717233
262	0.3118867841
263	0.3118470007
264	0.3116832607
265	0.3115764754
266	0.3115171452
267	0.3114609414
268	0.3112487469
269	0.3111837194
270	0.3110119524
271	0.3108937606
272	0.3107928776
273	0.3106995492
274	0.3105354675
275	0.3104314926
276	0.3103311305
277	0.3102194258
278	0.3101838469
279	0.310000063
280	0.3097708121
281	0.3095098522
282	0.3094070104
283	0.3091674822
284	0.3090410139
285	0.3090120981
286	0.3089447361
287	0.3087876716
288	0.3087093653
289	0.3085759697
290	0.3084097595
291	0.308353926
292	0.3082644112
293	0.308059012
294	0.3079778623
295	0.3078903215
296	0.3077808325
297	0.3077583188
298	0.3076504366
299	0.3074443799
300	0.3071284132
301	0.3070584988
302	0.3068972066
303	0.3067212981
304	0.3065871264
305	0.3064584677
306	0.306343454
307	0.3062542831
308	0.3061922628
309	0.3061310418
310	0.3060397278
311	0.3059806919
312	0.3058686731
313	0.305815315
314	0.3056265747
315	0.3054330288
316	0.3053617682
317	0.3052959601
318	0.3052390263
319	0.305182324
320	0.3050345287
321	0.3048520044
322	0.3043982522
323	0.304330392
324	0.3041501349
325	0.3039860891
326	0.3039034131
327	0.3036981342
328	0.3036177395
329	0.303479427
330	0.3034463389
331	0.3033796058
332	0.3032010072
333	0.3031460422
334	0.3029533614
335	0.3028941707
336	0.3028215572
337	0.3026704089
338	0.3026478717
339	0.3025169505
340	0.3024531852
341	0.3023637344
342	0.3023335914
343	0.3022526573
344	0.3022071069
345	0.3021405022
346	0.302066858
347	0.3019208069
348	0.3017861756
349	0.3017551607
350	0.3017210511
351	0.3015856803
352	0.3013122603
353	0.3010806677
354	0.301010516
355	0.3009155056
356	0.3006944304
357	0.3005989902
358	0.3004683537
359	0.300191991
360	0.2999894763
361	0.2998941197
362	0.2995269868
363	0.2994084173
364	0.2993546934
365	0.2993366988
366	0.2992456915
367	0.2991397561
368	0.2990110338
369	0.2988608181
370	0.298623632
371	0.2985356142
372	0.2983781583
373	0.2983557799
374	0.2982410327
375	0.2980973413
376	0.2980509798
377	0.2979299562
378	0.2976939095
379	0.2975012868
380	0.297418118
381	0.2973733668
382	0.2972705905
383	0.2972267399
384	0.2971858966
385	0.2971138248
386	0.2970278059
387	0.2968149104
388	0.2966861705
389	0.2965197322
390	0.2963061021
391	0.296245968
392	0.2961185706
393	0.2960842321
394	0.2959474587
395	0.2958089275
396	0.2957406487
397	0.2955899259
398	0.2953911549
399	0.2952690297
