iter	Passed	Remaining
0	24	9718
1	39	7799
2	53	7109
3	74	7336
4	83	6635
5	91	6036
6	96	5433
7	110	5394
8	112	4902
9	124	4841
10	127	4511
11	140	4528
12	149	4462
13	160	4415
14	171	4397
15	180	4320
16	190	4293
17	192	4092
18	202	4058
19	212	4029
20	214	3866
21	225	3872
22	235	3865
23	247	3871
24	256	3846
25	265	3819
26	275	3811
27	280	3731
28	288	3687
29	296	3658
30	307	3654
31	317	3646
32	327	3639
33	337	3630
34	345	3606
35	348	3519
36	358	3516
37	368	3513
38	371	3440
39	375	3375
40	385	3372
41	391	3338
42	393	3268
43	402	3259
44	405	3196
45	413	3183
46	423	3179
47	434	3186
48	446	3195
49	459	3214
50	469	3216
51	472	3161
52	482	3161
53	494	3170
54	505	3171
55	509	3132
56	520	3132
57	532	3141
58	541	3127
59	543	3078
60	548	3045
61	557	3040
62	567	3033
63	571	3000
64	579	2988
65	589	2982
66	599	2980
67	610	2980
68	620	2974
69	628	2960
70	637	2953
71	641	2921
72	650	2913
73	658	2900
74	667	2894
75	674	2874
76	684	2870
77	692	2859
78	702	2852
79	710	2841
80	719	2832
81	723	2805
82	732	2799
83	741	2789
84	750	2782
85	758	2771
86	766	2755
87	775	2748
88	785	2743
89	794	2735
90	803	2728
91	805	2697
92	814	2689
93	817	2660
94	825	2649
95	835	2646
96	845	2640
97	853	2631
98	863	2624
99	871	2614
100	881	2608
101	889	2598
102	900	2596
103	908	2585
104	911	2561
105	922	2558
106	934	2557
107	944	2552
108	953	2544
109	962	2536
110	967	2518
111	974	2506
112	984	2499
113	992	2490
114	1001	2481
115	1010	2474
116	1037	2510
117	1048	2505
118	1057	2498
119	1066	2489
120	1075	2480
121	1084	2470
122	1093	2462
123	1102	2453
124	1112	2446
125	1120	2437
126	1130	2429
127	1138	2419
128	1147	2410
129	1158	2407
130	1167	2397
131	1177	2390
132	1186	2381
133	1196	2374
134	1198	2353
135	1207	2344
136	1216	2335
137	1226	2328
138	1236	2321
139	1246	2315
140	1255	2306
141	1264	2297
142	1274	2289
143	1282	2280
144	1292	2272
145	1301	2263
146	1313	2260
147	1324	2255
148	1335	2250
149	1347	2246
150	1375	2267
151	1388	2265
152	1399	2259
153	1411	2254
154	1431	2263
155	1520	2377
156	1558	2412
157	1597	2446
158	1610	2441
159	1623	2435
160	1636	2429
161	1648	2421
162	1662	2416
163	1674	2410
164	1687	2403
165	1698	2394
166	1709	2385
167	1722	2378
168	1734	2370
169	1746	2362
170	1757	2354
171	1769	2346
172	1776	2331
173	1786	2320
174	1795	2308
175	1805	2298
176	1816	2288
177	1828	2280
178	1840	2272
179	1853	2264
180	1864	2256
181	1877	2249
182	1905	2260
183	1917	2250
184	1927	2240
185	1938	2230
186	1947	2218
187	1957	2207
188	1967	2196
189	1976	2184
190	1986	2173
191	1994	2160
192	2003	2149
193	2012	2136
194	2022	2126
195	2032	2115
196	2065	2128
197	2078	2120
198	2089	2110
199	2101	2101
200	2112	2091
201	2125	2083
202	2137	2074
203	2148	2064
204	2159	2054
205	2168	2042
206	2177	2030
207	2188	2020
208	2199	2009
209	2208	1998
210	2220	1989
211	2233	1980
212	2242	1969
213	2256	1961
214	2268	1951
215	2281	1943
216	2296	1936
217	2307	1926
218	2319	1916
219	2328	1904
220	2339	1894
221	2350	1884
222	2359	1873
223	2370	1862
224	2379	1850
225	2388	1838
226	2397	1827
227	2406	1815
228	2416	1804
229	2424	1792
230	2435	1781
231	2444	1769
232	2454	1759
233	2464	1748
234	2474	1737
235	2483	1726
236	2494	1715
237	2507	1706
238	2518	1696
239	2528	1685
240	2537	1673
241	2546	1662
242	2555	1651
243	2565	1640
244	2573	1628
245	2582	1616
246	2591	1605
247	2600	1593
248	2608	1582
249	2618	1571
250	2628	1560
251	2637	1548
252	2647	1538
253	2656	1526
254	2666	1516
255	2676	1505
256	2684	1493
257	2694	1482
258	2702	1471
259	2712	1460
260	2721	1449
261	2730	1438
262	2739	1427
263	2749	1416
264	2758	1405
265	2769	1394
266	2778	1383
267	2786	1372
268	2796	1361
269	2804	1350
270	2813	1339
271	2822	1328
272	2831	1317
273	2840	1306
274	2850	1295
275	2859	1284
276	2868	1273
277	2877	1262
278	2886	1251
279	2895	1240
280	2904	1230
281	2914	1219
282	2923	1208
283	2932	1197
284	2941	1187
285	2951	1176
286	2961	1165
287	2969	1154
288	2978	1144
289	2986	1132
290	2996	1122
291	3004	1111
292	3013	1100
293	3022	1089
294	3035	1080
295	3052	1072
296	3064	1062
297	3094	1059
298	3106	1049
299	3116	1038
300	3126	1028
301	3135	1017
302	3145	1006
303	3154	996
304	3164	985
305	3173	974
306	3182	964
307	3191	953
308	3200	942
309	3212	932
310	3221	921
311	3229	910
312	3239	900
313	3248	889
314	3257	879
315	3266	868
316	3277	858
317	3301	851
318	3310	840
319	3319	829
320	3328	819
321	3337	808
322	3346	797
323	3356	787
324	3365	776
325	3375	766
326	3385	755
327	3394	745
328	3404	734
329	3413	723
330	3422	713
331	3430	702
332	3440	692
333	3448	681
334	3458	671
335	3470	660
336	3480	650
337	3491	640
338	3500	629
339	3509	619
340	3517	608
341	3529	598
342	3541	588
343	3550	578
344	3561	567
345	3572	557
346	3581	546
347	3590	536
348	3600	526
349	3610	515
350	3620	505
351	3630	495
352	3640	484
353	3649	474
354	3658	463
355	3667	453
356	3676	442
357	3685	432
358	3694	421
359	3705	411
360	3713	401
361	3723	390
362	3731	380
363	3741	370
364	3751	359
365	3759	349
366	3769	338
367	3778	328
368	3787	318
369	3797	307
370	3806	297
371	3816	287
372	3825	276
373	3834	266
374	3842	256
375	3852	245
376	3860	235
377	3870	225
378	3878	214
379	3888	204
380	3896	194
381	3906	184
382	3916	173
383	3924	163
384	3934	153
385	3942	142
386	3952	132
387	3960	122
388	3969	112
389	3978	102
390	3986	91
391	3995	81
392	4004	71
393	4014	61
394	4023	50
395	4034	40
396	4044	30
397	4053	20
398	4061	10
399	4070	0
