iter	RMSE
0	0.4886575341
1	0.4882132037
2	0.4879655068
3	0.4874635608
4	0.4870676964
5	0.4865083588
6	0.4862298428
7	0.4858995592
8	0.4853764119
9	0.4849290286
10	0.4845491308
11	0.4839782621
12	0.4836447616
13	0.483035652
14	0.4825879913
15	0.4822703104
16	0.4820338618
17	0.4815074906
18	0.4810541853
19	0.4805464407
20	0.4800293132
21	0.4797686958
22	0.4792980647
23	0.4788577409
24	0.4785973683
25	0.4783934395
26	0.4778415551
27	0.4774585007
28	0.4771743365
29	0.4767681114
30	0.4762935666
31	0.4760125059
32	0.4759138109
33	0.4756792496
34	0.4752481508
35	0.4749678795
36	0.4747282515
37	0.4747282489
38	0.4744141358
39	0.4741043558
40	0.4737643899
41	0.4734754579
42	0.4731038395
43	0.4729293877
44	0.4726849246
45	0.4725576289
46	0.4719817846
47	0.4716458926
48	0.4711884341
49	0.4709794676
50	0.4705885483
51	0.4702485179
52	0.4698640463
53	0.4696139644
54	0.4693462956
55	0.4691075935
56	0.4687775021
57	0.4684295838
58	0.4681823002
59	0.4678522493
60	0.4677274325
61	0.4675779439
62	0.4673453922
63	0.4668921077
64	0.4665817451
65	0.4662642306
66	0.4660334834
67	0.465612967
68	0.4655475229
69	0.4652386654
70	0.4648093335
71	0.4645912944
72	0.4644040499
73	0.464064045
74	0.4639144025
75	0.4634852353
76	0.4633787668
77	0.4630066473
78	0.4628128837
79	0.4625887096
80	0.4621117765
81	0.4620241364
82	0.4618484113
83	0.4616754198
84	0.4615612916
85	0.4611618323
86	0.4608795012
87	0.4605407332
88	0.4602713453
89	0.4599630351
90	0.459922888
91	0.4598118361
92	0.4595789763
93	0.4593100064
94	0.4591446899
95	0.4588608363
96	0.4585367475
97	0.4583062602
98	0.4579883763
99	0.4579123022
100	0.4578087487
101	0.4574352518
102	0.4571396262
103	0.457031348
104	0.4568955621
105	0.4567390239
106	0.4566835913
107	0.4564085722
108	0.4561177818
109	0.4559171034
110	0.4558926142
111	0.4557155942
112	0.4552853768
113	0.4549613079
114	0.4546768457
115	0.45437434
116	0.4543125221
117	0.4539767436
118	0.4538015831
119	0.4536578181
120	0.4534733189
121	0.4534419092
122	0.4533062348
123	0.4531430921
124	0.453079994
125	0.4528243831
126	0.4526327792
127	0.4524201265
128	0.4523286751
129	0.452098883
130	0.4518348564
131	0.4516682354
132	0.4516682268
133	0.4513856334
134	0.4513113047
135	0.4511007238
136	0.4509073481
137	0.4506726454
138	0.4503141459
139	0.4501587463
140	0.4499539587
141	0.4498067691
142	0.4496252075
143	0.4492835378
144	0.4492641253
145	0.4490229969
146	0.4489970945
147	0.4489393783
148	0.4488099577
149	0.4487038766
150	0.4486059512
151	0.4485359528
152	0.4483845901
153	0.4481812765
154	0.4480934241
155	0.4478091534
156	0.4475554003
157	0.447342759
158	0.4473037223
159	0.4470953976
160	0.446914127
161	0.446775614
162	0.446694037
163	0.4465323648
164	0.4463288244
165	0.4461998188
166	0.4459895219
167	0.4457944942
168	0.4455459882
169	0.4452907394
170	0.4450696199
171	0.4448895596
172	0.4448037431
173	0.4445407145
174	0.4443695564
175	0.4442363194
176	0.4439701288
177	0.4439196001
178	0.4438979302
179	0.4438979229
180	0.4438769605
181	0.4436593526
182	0.4434184668
183	0.4433680455
184	0.443255555
185	0.443057981
186	0.4429944887
187	0.4428094684
188	0.4427364702
189	0.4425535466
190	0.4423697274
191	0.4422687461
192	0.4420226461
193	0.441900724
194	0.4417057393
195	0.4417046511
196	0.4415113322
197	0.4412972801
198	0.4412942593
199	0.441155753
200	0.441147137
201	0.441044258
202	0.4409256223
203	0.4408454379
204	0.4406749466
205	0.4403891175
206	0.440172146
207	0.439997034
208	0.4397245664
209	0.4396627276
210	0.4394366381
211	0.4391979558
212	0.4390452142
213	0.4388756595
214	0.4386861695
215	0.4386861605
216	0.4384801379
217	0.4382456678
218	0.4381527536
219	0.4378937541
220	0.4377360403
221	0.4374914277
222	0.43744726
223	0.4372838488
224	0.4372195877
225	0.4371063638
226	0.4369476635
227	0.4368369819
228	0.4368348303
229	0.4367401493
230	0.4366348895
231	0.4365004616
232	0.4363620368
233	0.4361929759
234	0.4359600493
235	0.435732569
236	0.4355382623
237	0.4353826413
238	0.4352758669
239	0.4351228363
240	0.4350782939
241	0.4348641457
242	0.4346637964
243	0.4346297341
244	0.4345379106
245	0.4345372267
246	0.434449991
247	0.4343585542
248	0.434309852
249	0.434146134
250	0.4340203373
251	0.433987453
252	0.4338540338
253	0.4337166967
254	0.4334643509
255	0.4333039542
256	0.433051272
257	0.4330201941
258	0.4329745237
259	0.432860563
260	0.432721621
261	0.432505142
262	0.4323501433
263	0.4320892451
264	0.4319580154
265	0.4317981231
266	0.4317560703
267	0.4317560604
268	0.4317560547
269	0.4317234329
270	0.4315356294
271	0.4314456547
272	0.4313378756
273	0.4312496515
274	0.431159245
275	0.431071314
276	0.4309106645
277	0.4308379568
278	0.430837952
279	0.4307426168
280	0.4305306953
281	0.4304904252
282	0.4303903051
283	0.4302443502
284	0.4301628533
285	0.4298385634
286	0.4295691823
287	0.4294145282
288	0.4292884332
289	0.429158774
290	0.4291118344
291	0.4289764803
292	0.428926695
293	0.428801118
294	0.4286716615
295	0.4286716564
296	0.4285648893
297	0.4285025111
298	0.4282652947
299	0.428209656
300	0.4280001377
301	0.427929363
302	0.4277721099
303	0.4276813284
304	0.4275961676
305	0.427578328
306	0.4275062513
307	0.4273202283
308	0.4273161352
309	0.4273161318
310	0.4272331741
311	0.4272327689
312	0.4271200627
313	0.4270236071
314	0.4268534332
315	0.4266947006
316	0.4266887181
317	0.426686181
318	0.4266757294
319	0.4265590516
320	0.4264169413
321	0.4263303762
322	0.4262307806
323	0.4262299912
324	0.4262233211
325	0.426218875
326	0.4262129943
327	0.4260571965
328	0.42579242
329	0.4257384473
330	0.4254361521
331	0.4253332315
332	0.4252166897
333	0.4250856776
334	0.4249458394
335	0.4248380331
336	0.4247435779
337	0.4247348552
338	0.4245682262
339	0.4244299055
340	0.4242521104
341	0.4241603677
342	0.4241272122
343	0.4240881872
344	0.4240881839
345	0.42402962
346	0.4239747217
347	0.4239014438
348	0.4238855325
349	0.4237037127
350	0.4235914147
351	0.4234877063
352	0.4233624219
353	0.4233315864
354	0.4232623543
355	0.4231280754
356	0.4230621586
357	0.4229873191
358	0.4229097574
359	0.4227732139
360	0.4226949236
361	0.4226301397
362	0.4225170606
363	0.4225170583
364	0.4223689357
365	0.4223009722
366	0.4220566342
367	0.4219034815
368	0.4217909259
369	0.4216437634
370	0.421550956
371	0.4214635319
372	0.4214379398
373	0.4213329727
374	0.4212901508
375	0.4211787546
376	0.4210867999
377	0.4210661491
378	0.4209424637
379	0.4209424603
380	0.4209384583
381	0.4209360375
382	0.4209051887
383	0.420739525
384	0.420615006
385	0.4204716165
386	0.420385774
387	0.4202308989
388	0.4201965148
389	0.4201750883
390	0.4201478347
391	0.4199657106
392	0.419834337
393	0.4198264594
394	0.4198264564
395	0.419629656
396	0.4195717682
397	0.4195076344
398	0.4193894089
399	0.4191723714
400	0.4191512457
401	0.4189933957
402	0.4188647786
403	0.4187446061
404	0.4186179778
405	0.4185643083
406	0.4184484336
407	0.4183578649
408	0.4180447251
409	0.4179006305
410	0.4179006272
411	0.4177501924
412	0.4175642329
413	0.4172636298
414	0.4171392979
415	0.4171380042
416	0.4171380009
417	0.4171016383
418	0.4171016353
419	0.4170369924
420	0.4169853358
421	0.4169383222
422	0.4167611594
423	0.4166444499
424	0.416592354
425	0.4165332793
426	0.4163386305
427	0.4162089562
428	0.4162089532
429	0.4160638063
430	0.415940258
431	0.4158702
432	0.4157383837
433	0.4156954919
434	0.4154787446
435	0.4154133388
436	0.4154011524
437	0.4152874459
438	0.4151277759
439	0.4149738828
440	0.4148856904
441	0.4148183134
442	0.4147048828
443	0.4144919772
444	0.4144900024
445	0.4144120909
446	0.4143635577
447	0.4142674828
448	0.4141839557
449	0.4141406634
450	0.4140785429
451	0.4138824246
452	0.4138025766
453	0.4137351443
454	0.4135805228
455	0.4135478253
456	0.4134370897
457	0.4133827267
458	0.4132807733
459	0.4132036127
460	0.4131590949
461	0.412968464
462	0.412936484
463	0.4127367166
464	0.4126313005
465	0.4126274856
466	0.4126139866
467	0.4125603429
468	0.412459867
469	0.4122545146
470	0.4121323196
471	0.4121306082
472	0.4119679696
473	0.4118694099
474	0.4118606585
475	0.4118600683
476	0.4118499317
477	0.4116652421
478	0.4115898088
479	0.4115590036
480	0.4115426002
481	0.4115152033
482	0.4115105045
483	0.4114432341
484	0.4113732433
485	0.4113571428
486	0.4113555505
487	0.4113340087
488	0.4113340053
489	0.4112087022
490	0.4111760578
491	0.4111213654
492	0.4111213618
493	0.4111201661
494	0.4110242368
495	0.4109270339
496	0.4108575401
497	0.4107175352
498	0.4105984021
499	0.4104740199
500	0.4103714642
501	0.4101452288
502	0.40998413
503	0.4099459368
504	0.4098457669
505	0.409768882
506	0.4097336999
507	0.4096313222
508	0.409546525
509	0.4094385066
510	0.4094380597
511	0.4092948368
512	0.4092357406
513	0.409086421
514	0.4090062393
515	0.4090057983
516	0.4090041178
517	0.4089604185
518	0.4089321433
519	0.4087165026
520	0.4086966372
521	0.4085523432
522	0.408550625
523	0.4084655104
524	0.4084444152
525	0.4084246098
526	0.4083168068
527	0.4081849056
528	0.4081136696
529	0.4081136662
530	0.4080867452
531	0.4079555215
532	0.4078845824
533	0.4078167608
534	0.4078167577
535	0.4077150457
536	0.4075950458
537	0.4075707803
538	0.4075220874
539	0.4074483332
540	0.4073973907
541	0.4073784486
542	0.4072054666
543	0.4071827505
544	0.4070741259
545	0.4069530979
546	0.4069517894
547	0.4069030832
548	0.4068386534
549	0.4068386506
550	0.4067896417
551	0.4067224163
552	0.406651108
553	0.4065710998
554	0.4064513495
555	0.4064513466
556	0.4064513438
557	0.4064070392
558	0.4063962769
559	0.4063733291
560	0.4061743493
561	0.4060901005
562	0.4060806983
563	0.4059576411
564	0.4058872134
565	0.4057443059
566	0.405713531
567	0.4055366425
568	0.4054877051
569	0.4054825164
570	0.4054426829
571	0.4054099351
572	0.4053608452
573	0.4051579338
574	0.4051536309
575	0.405153514
576	0.4051449867
577	0.4049876978
578	0.404897503
579	0.4048596641
580	0.4046637528
581	0.4045484508
582	0.4045205835
583	0.404439218
584	0.4043758941
585	0.4043758912
586	0.4042515532
587	0.4041509521
588	0.4041125072
589	0.4040473844
590	0.403926633
591	0.4038123965
592	0.4037950776
593	0.4037591243
594	0.4036501028
595	0.4035162769
596	0.4034741494
597	0.40347358
598	0.4033724494
599	0.4031873302
600	0.4031408176
601	0.4030227417
602	0.4029760899
603	0.4028529344
604	0.4028335732
605	0.4027610478
