iter	Passed	Remaining
0	12	29204
1	33	37673
2	52	39694
3	74	42291
4	93	42454
5	112	42472
6	126	40864
7	146	41509
8	161	40710
9	198	44921
10	224	46134
11	247	46563
12	267	46563
13	277	44732
14	300	45259
15	316	44654
16	337	44748
17	356	44622
18	375	44500
19	397	44785
20	414	44494
21	426	43653
22	444	43525
23	462	43371
24	466	41945
25	485	41935
26	505	42076
27	525	42151
28	542	41966
29	561	41982
30	579	41926
31	583	40850
32	603	40954
33	624	41136
34	643	41175
35	654	40682
36	671	40602
37	689	40540
38	704	40341
39	723	40402
40	741	40387
41	761	40446
42	783	40641
43	805	40794
44	829	41061
45	835	40466
46	847	40128
47	865	40117
48	886	40252
49	909	40451
50	920	40103
51	943	40316
52	965	40453
53	983	40406
54	1001	40407
55	1019	40365
56	1040	40465
57	1057	40377
58	1077	40416
59	1096	40431
60	1114	40396
61	1131	40351
62	1134	39808
63	1154	39849
64	1164	39559
65	1173	39254
66	1191	39225
67	1212	39326
68	1235	39475
69	1248	39286
70	1279	39674
71	1311	40087
72	1344	40514
73	1367	40649
74	1371	40205
75	1388	40140
76	1408	40161
77	1430	40241
78	1451	40305
79	1473	40393
80	1497	40518
81	1519	40607
82	1545	40771
83	1568	40881
84	1596	41091
85	1621	41243
86	1646	41381
87	1670	41467
88	1695	41609
89	1718	41678
90	1743	41807
91	1764	41838
92	1785	41843
93	1805	41854
94	1815	41623
95	1835	41628
96	1848	41474
97	1864	41386
98	1876	41209
99	1882	40909
100	1901	40881
101	1921	40896
102	1939	40857
103	1951	40692
104	1959	40456
105	1976	40398
106	1993	40356
107	1999	40091
108	2005	39818
109	2024	39818
110	2046	39862
111	2065	39845
112	2073	39634
113	2086	39523
114	2095	39329
115	2113	39292
116	2132	39302
117	2151	39290
118	2169	39266
119	2188	39271
120	2205	39232
121	2223	39200
122	2242	39195
123	2246	38931
124	2259	38833
125	2263	38565
126	2281	38546
127	2298	38511
128	2316	38493
129	2338	38543
130	2371	38771
131	2389	38754
132	2409	38763
133	2412	38515
134	2425	38416
135	2432	38227
136	2454	38272
137	2459	38043
138	2462	37811
139	2466	37580
140	2486	37601
141	2509	37659
142	2516	37479
143	2535	37483
144	2552	37455
145	2572	37477
146	2595	37544
147	2617	37578
148	2636	37576
149	2655	37578
150	2676	37614
151	2697	37634
152	2717	37652
153	2733	37609
154	2752	37614
155	2775	37659
156	2785	37541
157	2795	37422
158	2804	37290
159	2824	37303
160	2845	37328
161	2868	37373
162	2882	37318
163	2902	37331
164	2924	37363
165	2941	37340
166	2954	37258
167	2979	37332
168	3003	37390
169	3027	37449
170	3036	37321
171	3055	37323
172	3079	37381
173	3102	37421
174	3123	37446
175	3146	37489
176	3165	37484
177	3188	37526
178	3210	37555
179	3229	37551
180	3241	37465
181	3261	37474
182	3273	37391
183	3280	37245
184	3299	37235
185	3302	37059
186	3321	37056
187	3340	37047
188	3349	36937
189	3362	36858
190	3379	36842
191	3393	36784
192	3413	36783
193	3425	36709
194	3444	36703
195	3461	36681
196	3475	36620
197	3492	36602
198	3509	36572
199	3518	36473
200	3533	36422
201	3551	36408
202	3569	36400
203	3588	36396
204	3607	36394
205	3626	36386
206	3634	36272
207	3644	36185
208	3664	36185
209	3683	36181
210	3691	36079
211	3708	36055
212	3725	36032
213	3745	36038
214	3760	36000
215	3782	36017
216	3793	35945
217	3797	35795
218	3815	35785
219	3833	35769
220	3839	35648
221	3854	35608
222	3859	35483
223	3871	35417
224	3885	35367
225	3903	35353
226	3921	35348
227	3939	35338
228	3953	35288
229	3971	35278
230	3989	35264
231	4007	35253
232	4026	35255
233	4039	35197
234	4056	35176
235	4078	35201
236	4097	35203
237	4101	35072
238	4119	35061
239	4126	34952
240	4145	34954
241	4166	34967
242	4187	34979
243	4203	34953
244	4223	34960
245	4241	34952
246	4261	34954
247	4283	34975
248	4303	34979
249	4322	34978
250	4337	34942
251	4359	34959
252	4378	34958
253	4399	34973
254	4418	34966
255	4438	34974
256	4457	34963
257	4463	34861
258	4469	34753
259	4488	34753
260	4526	34890
261	4552	34942
262	4558	34837
263	4577	34834
264	4589	34774
265	4609	34780
266	4628	34773
267	4646	34759
268	4655	34680
269	4659	34566
270	4679	34566
271	4687	34487
272	4706	34479
273	4725	34473
274	4745	34480
275	4766	34487
276	4784	34473
277	4804	34475
278	4816	34421
279	4836	34427
280	4854	34415
281	4873	34409
282	4896	34434
283	4913	34414
284	4936	34431
285	4940	34322
286	4957	34306
287	4975	34291
288	4984	34218
289	5001	34200
290	5019	34189
291	5022	34077
292	5041	34068
293	5053	34019
294	5072	34010
295	5089	33989
296	5104	33964
297	5119	33932
298	5126	33844
299	5129	33735
300	5147	33726
301	5164	33706
302	5181	33687
303	5187	33596
304	5196	33527
305	5199	33420
306	5204	33330
307	5222	33320
308	5244	33332
309	5247	33229
310	5267	33229
311	5279	33185
312	5288	33115
313	5306	33107
314	5325	33103
315	5342	33087
316	5364	33099
317	5378	33065
318	5397	33064
319	5417	33061
320	5438	33073
321	5459	33078
322	5480	33084
323	5490	33026
324	5509	33024
325	5518	32961
326	5527	32897
327	5542	32868
328	5558	32842
329	5567	32782
330	5588	32791
331	5608	32787
332	5627	32782
333	5645	32772
334	5662	32760
335	5678	32737
336	5698	32734
337	5716	32728
338	5735	32722
339	5739	32633
340	5752	32593
341	5773	32595
342	5793	32600
343	5813	32598
344	5833	32599
345	5837	32510
346	5856	32505
347	5877	32514
348	5885	32445
349	5889	32357
350	5902	32319
351	5921	32314
352	5933	32272
353	5955	32283
354	5974	32278
355	5992	32270
356	5996	32183
357	6016	32182
358	6028	32142
359	6043	32116
360	6049	32041
361	6056	31970
362	6065	31916
363	6084	31910
364	6095	31861
365	6113	31855
366	6117	31770
367	6133	31751
368	6140	31684
369	6158	31674
370	6175	31660
371	6187	31617
372	6198	31573
373	6219	31577
374	6239	31578
375	6256	31566
376	6274	31554
377	6292	31544
378	6302	31494
379	6321	31490
380	6341	31489
381	6350	31435
382	6370	31437
383	6388	31424
384	6405	31411
385	6411	31344
386	6432	31350
387	6452	31345
388	6473	31350
389	6492	31345
390	6510	31336
391	6528	31327
392	6547	31319
393	6564	31307
394	6568	31230
395	6580	31192
396	6599	31183
397	6616	31170
398	6627	31126
399	6645	31118
400	6680	31188
401	6707	31216
402	6722	31195
403	6739	31179
404	6760	31183
405	6781	31185
406	6788	31122
407	6807	31119
408	6821	31087
409	6841	31089
410	6845	31014
411	6849	30939
412	6859	30890
413	6872	30859
414	6894	30869
415	6908	30837
416	6927	30834
417	6948	30836
418	6962	30807
419	6982	30807
420	7000	30795
421	7011	30755
422	7017	30692
423	7035	30678
424	7054	30676
425	7074	30672
426	7095	30674
427	7105	30629
428	7122	30613
429	7140	30602
430	7158	30592
431	7177	30587
432	7181	30516
433	7187	30456
434	7207	30453
435	7211	30384
436	7229	30372
437	7247	30363
438	7253	30303
439	7263	30258
440	7281	30248
441	7299	30236
442	7331	30286
443	7351	30282
444	7357	30223
445	7361	30154
446	7375	30130
447	7397	30134
448	7419	30141
449	7439	30137
450	7450	30100
451	7471	30100
452	7492	30103
453	7515	30109
454	7522	30055
455	7542	30053
456	7562	30051
457	7566	29983
458	7585	29977
459	7604	29970
460	7621	29955
461	7643	29960
462	7647	29894
463	7653	29838
464	7667	29811
465	7677	29771
466	7693	29754
467	7706	29723
468	7713	29669
469	7736	29679
470	7747	29641
471	7754	29588
472	7769	29565
473	7783	29541
474	7795	29506
475	7811	29490
476	7817	29433
477	7835	29424
478	7849	29399
479	7868	29390
480	7878	29353
481	7895	29336
482	7912	29323
483	7924	29289
484	7944	29288
485	7963	29279
486	7972	29237
487	7989	29223
488	8008	29216
489	8011	29151
490	8027	29132
491	8045	29122
492	8049	29062
493	8070	29062
494	8074	29002
495	8091	28990
496	8111	28984
497	8123	28954
498	8126	28892
499	8147	28890
500	8168	28891
501	8187	28885
502	8191	28823
503	8205	28801
504	8224	28792
505	8242	28781
506	8259	28770
507	8269	28732
508	8281	28701
509	8289	28654
510	8307	28644
511	8315	28600
512	8333	28589
513	8341	28547
514	8357	28527
515	8375	28520
516	8394	28513
517	8405	28477
518	8423	28469
519	8445	28472
520	8471	28486
521	8479	28444
522	8487	28401
523	8495	28357
524	8515	28353
525	8539	28363
526	8559	28357
527	8583	28366
528	8608	28379
529	8616	28336
530	8627	28304
531	8650	28308
532	8664	28287
533	8681	28272
534	8699	28262
535	8717	28249
536	8735	28240
537	8753	28228
538	8772	28221
539	8788	28205
540	8805	28189
541	8825	28186
542	8863	28238
543	8884	28238
544	8906	28239
545	8928	28240
546	8942	28217
547	8963	28215
548	8970	28170
549	8974	28114
550	8993	28105
551	8996	28049
552	9010	28026
553	9034	28032
554	9053	28025
555	9072	28018
556	9089	28002
557	9101	27973
558	9118	27960
559	9139	27957
560	9149	27921
561	9169	27915
562	9175	27867
563	9181	27821
564	9189	27781
565	9204	27759
566	9222	27747
567	9230	27708
568	9249	27699
569	9268	27690
570	9277	27653
571	9294	27640
572	9304	27603
573	9307	27550
574	9325	27539
575	9348	27541
576	9369	27541
577	9389	27533
578	9408	27525
579	9424	27510
580	9432	27469
581	9443	27437
582	9469	27449
583	9486	27437
584	9490	27384
585	9494	27332
586	9511	27319
587	9520	27281
588	9528	27243
589	9546	27231
590	9566	27226
591	9583	27211
592	9604	27210
593	9629	27218
594	9652	27222
595	9661	27186
596	9687	27195
597	9711	27202
598	9732	27197
599	9758	27208
600	9781	27212
601	9790	27176
602	9812	27174
603	9833	27172
604	9849	27155
605	9868	27146
606	9886	27133
607	9904	27124
608	9926	27121
609	9937	27092
610	9954	27076
611	9972	27067
612	9991	27055
613	10008	27041
614	10029	27039
615	10050	27035
616	10067	27020
617	10092	27026
618	10119	27038
619	10144	27045
620	10169	27054
621	10186	27039
622	10202	27020
623	10222	27014
624	10247	27020
625	10272	27027
626	10292	27019
627	10299	26978
628	10315	26962
629	10326	26932
630	10335	26895
631	10351	26876
632	10356	26833
633	10374	26818
634	10391	26806
635	10411	26797
636	10431	26792
637	10435	26743
638	10453	26729
639	10473	26722
640	10492	26714
641	10502	26680
642	10520	26668
643	10539	26660
644	10553	26637
645	10576	26637
646	10596	26629
647	10605	26595
648	10611	26553
649	10616	26509
650	10633	26494
651	10642	26460
652	10661	26448
653	10668	26409
654	10683	26389
655	10693	26358
656	10712	26350
657	10729	26335
658	10749	26327
659	10756	26287
660	10759	26240
661	10778	26230
662	10799	26225
663	10820	26219
664	10841	26215
665	10854	26190
666	10866	26164
667	10885	26153
668	10906	26148
669	10927	26144
670	10941	26123
671	10951	26091
672	10971	26084
673	10975	26039
674	10993	26025
675	11033	26066
676	11038	26022
677	11059	26017
678	11076	26003
679	11089	25978
680	11108	25968
681	11119	25939
682	11126	25901
683	11135	25868
684	11155	25860
685	11174	25850
686	11182	25815
687	11199	25802
688	11220	25795
689	11240	25787
690	11258	25775
691	11261	25729
692	11279	25716
693	11297	25703
694	11306	25672
695	11326	25663
696	11342	25646
697	11348	25607
698	11361	25583
699	11378	25569
700	11383	25527
701	11391	25492
702	11401	25462
703	11420	25453
704	11442	25448
705	11462	25440
706	11483	25436
707	11503	25428
708	11522	25417
709	11541	25406
710	11560	25397
711	11578	25384
712	11591	25361
713	11611	25352
714	11635	25353
715	11659	25354
716	11681	25350
717	11705	25351
718	11727	25347
719	11758	25361
720	11781	25360
721	11805	25360
722	11829	25359
723	11852	25359
724	11875	25356
725	11895	25348
726	11908	25324
727	11927	25313
728	11951	25312
729	11973	25307
730	11993	25299
731	12010	25284
732	12028	25271
733	12048	25261
734	12066	25248
735	12086	25240
736	12105	25228
737	12123	25215
738	12141	25203
739	12150	25171
740	12168	25157
