Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-09-02,342,,0,227,471,231,11,0,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-01-10,3255,,1576,2184,3830,2582,397,2987,
2012-09-30,876,,359,513,957,520,133,1162,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-01-17,155,,0,86,256,74,0,0,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-02-29,242,,0,164,446,190,7,4,
2012-06-04,1633,,650,1045,1913,975,621,2138,
2012-02-23,397,,10,293,528,329,22,13,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-12-02,78,,0,36,91,53,5,0,
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-01-23,210,,6,114,357,91,6,0,
2012-05-09,5655,,2722,3861,7110,4061,1383,4491,
2012-02-04,1937,,967,1537,2853,1614,394,2122,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-08-28,5817,,2794,3966,6313,3420,1629,4720,
2012-07-20,5813,,2088,3744,6959,3316,2538,5775,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-10-14,587,,287,443,852,503,65,952,
2012-12-09,6349,,3124,4209,7292,4510,1981,5697,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-09-01,244,,2,165,432,198,12,173,
2012-01-24,299,,1,189,444,174,4,0,
2012-02-01,83,,1,68,153,53,6,43,
2012-08-03,348,,6,238,530,270,9,9,
2012-10-18,4671,,2292,3129,5542,3477,1108,4245,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-05-01,197,,2,124,330,97,13,95,
2012-04-27,1986,,743,1526,2586,1298,139,1899,
2012-03-29,878,,406,646,1264,807,78,937,
2012-06-25,2245,,1077,1374,3031,1440,1349,3283,
2012-08-10,1854,,880,987,1818,1040,1115,2502,
2012-01-25,334,,1,217,453,180,4,0,
2012-04-04,2211,,933,1674,2956,1666,274,2242,
2012-05-16,4947,,2178,3681,5882,3057,1332,4348,
2012-01-27,91,,5,79,204,65,0,0,
2012-06-07,5958,,2095,4137,6942,3387,2248,5610,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-05-25,5697,,2205,4096,6734,3341,1953,5174,
2012-01-13,75,,0,41,105,64,2,0,
2012-03-03,82,,0,65,133,47,2,0,
2012-02-19,169,,3,110,205,113,13,2,
