col_0,col_1,col_2,col_3,col_4
2.290943,1.02257,-1.645399,-2.499406,-1.389572
-1.448084,-0.213447,-0.718444,0.23205,-1.407464
-0.034988,1.812449,-0.626967,-0.703176,1.770801
1.135566,-0.315269,0.651391,0.570891,0.954002
-1.692957,-1.103589,-0.988591,-0.280675,-0.09834
-2.15339,1.642015,-1.32309,-0.991392,-0.638962
0.078635,0.346488,0.916328,-0.080717,-1.998201
-2.696887,0.696206,-0.230935,-0.272724,-0.054295
-0.032695,-1.30447,-0.08912,0.384065,-2.067442
-0.909387,0.586857,-1.401851,0.791032,1.402794
-0.546859,-0.712846,-0.543425,-0.573662,-0.032753
1.475356,-0.019016,-0.159939,0.310908,0.85766
-0.349258,0.381935,2.076748,-0.348652,-0.321635
-1.369803,-0.803675,2.579709,-0.557492,-0.088282
0.043811,2.210523,0.963879,-0.129821,-0.147002
-0.592394,-0.83095,0.048522,-0.487125,-0.863991
-0.025554,-0.370614,0.5436,-0.671623,1.172729
-0.452306,0.760415,-1.583903,-1.889541,-2.423879
-0.460639,-1.76304,0.343618,-0.719844,1.057122
-0.20358,-0.649278,-1.014757,-0.379128,-0.581681
-0.922165,0.413435,1.355638,0.756989,0.869606
0.341756,-0.576904,0.950424,0.150394,1.876171
0.087047,-1.987569,0.091761,0.821903,-0.299007
-0.560181,-0.020902,0.61037,-0.828995,0.747294
0.833529,1.227669,0.374057,0.33088,-1.993736
-2.301921,1.644968,1.366874,-0.275052,-1.515191
-0.95554,-0.756351,0.203464,-0.127918,-1.606446
-1.556582,0.850222,1.50076,-0.493757,-0.428115
0.326133,-0.184902,0.924027,-0.309546,-1.251114
-1.525525,0.243339,-0.045586,-1.070085,-0.691908
2.056207,-0.276813,-0.221254,-1.966357,-1.103208
-0.517611,1.188393,-0.016423,1.794558,0.223788
1.158111,0.628346,0.62412,-1.214189,0.791663
2.493,0.081829,0.838491,0.388579,-0.006071
0.8996,0.629629,0.812862,-0.69291,0.3073
-0.651418,0.424166,-0.320347,0.197911,-0.483886
0.753342,0.673181,1.289753,-1.760763,0.381158
0.309821,-0.185288,0.413799,-1.187598,0.633777
1.676437,0.829406,-0.219101,0.018418,0.326927
0.171368,-1.478522,-0.301104,0.738467,-0.115648
