user,date
user_0,2023-01-01
user_1,2023-01-01
user_10,2023-01-01
user_2,2023-01-01
user_3,2023-01-01
user_4,2023-01-01
user_5,2023-01-01
user_6,2023-01-01
user_7,2023-01-01
user_8,2023-01-01
user_9,2023-01-01
user_10,2023-01-02
user_11,2023-01-02
user_12,2023-01-02
user_13,2023-01-02
user_14,2023-01-02
user_15,2023-01-02
user_16,2023-01-02
user_17,2023-01-02
user_18,2023-01-02
user_19,2023-01-02
user_20,2023-01-02
user_21,2023-01-02
user_5,2023-01-02
user_8,2023-01-02
user_1,2023-01-03
user_14,2023-01-03
user_2,2023-01-03
user_22,2023-01-03
user_23,2023-01-03
user_24,2023-01-03
user_25,2023-01-03
user_26,2023-01-03
user_27,2023-01-03
user_28,2023-01-03
user_29,2023-01-03
user_3,2023-01-03
user_30,2023-01-03
user_31,2023-01-03
user_32,2023-01-03
user_33,2023-01-03
user_11,2023-01-04
user_12,2023-01-04
user_13,2023-01-04
user_19,2023-01-04
user_21,2023-01-04
user_22,2023-01-04
user_24,2023-01-04
user_25,2023-01-04
user_26,2023-01-04
user_27,2023-01-04
user_31,2023-01-04
user_32,2023-01-04
user_33,2023-01-04
user_34,2023-01-04
user_35,2023-01-04
user_36,2023-01-04
user_37,2023-01-04
user_38,2023-01-04
user_39,2023-01-04
user_4,2023-01-04
user_40,2023-01-04
user_41,2023-01-04
user_42,2023-01-04
user_43,2023-01-04
user_44,2023-01-04
user_45,2023-01-04
user_46,2023-01-04
user_5,2023-01-04
user_6,2023-01-04
user_8,2023-01-04
user_9,2023-01-04
user_11,2023-01-05
user_12,2023-01-05
user_13,2023-01-05
user_15,2023-01-05
user_17,2023-01-05
user_19,2023-01-05
user_21,2023-01-05
user_26,2023-01-05
user_27,2023-01-05
user_3,2023-01-05
user_30,2023-01-05
user_39,2023-01-05
user_4,2023-01-05
user_40,2023-01-05
user_42,2023-01-05
user_43,2023-01-05
user_44,2023-01-05
user_45,2023-01-05
user_47,2023-01-05
user_48,2023-01-05
user_49,2023-01-05
user_50,2023-01-05
user_51,2023-01-05
user_52,2023-01-05
user_53,2023-01-05
user_54,2023-01-05
user_55,2023-01-05
user_56,2023-01-05
user_7,2023-01-05
user_0,2023-01-06
user_12,2023-01-06
user_13,2023-01-06
user_14,2023-01-06
user_16,2023-01-06
user_2,2023-01-06
user_20,2023-01-06
user_22,2023-01-06
user_24,2023-01-06
user_27,2023-01-06
user_29,2023-01-06
user_3,2023-01-06
user_33,2023-01-06
user_34,2023-01-06
user_36,2023-01-06
user_37,2023-01-06
user_40,2023-01-06
user_44,2023-01-06
user_46,2023-01-06
user_47,2023-01-06
user_48,2023-01-06
user_54,2023-01-06
user_55,2023-01-06
user_56,2023-01-06
user_57,2023-01-06
user_58,2023-01-06
user_59,2023-01-06
user_6,2023-01-06
user_60,2023-01-06
user_61,2023-01-06
user_62,2023-01-06
user_63,2023-01-06
user_64,2023-01-06
user_65,2023-01-06
user_66,2023-01-06
user_67,2023-01-06
user_68,2023-01-06
user_69,2023-01-06
user_8,2023-01-06
user_10,2023-01-07
user_13,2023-01-07
user_15,2023-01-07
user_18,2023-01-07
user_19,2023-01-07
user_24,2023-01-07
user_27,2023-01-07
user_3,2023-01-07
user_34,2023-01-07
user_39,2023-01-07
user_40,2023-01-07
user_41,2023-01-07
user_43,2023-01-07
user_44,2023-01-07
user_45,2023-01-07
user_46,2023-01-07
user_49,2023-01-07
user_5,2023-01-07
user_50,2023-01-07
user_52,2023-01-07
user_53,2023-01-07
user_57,2023-01-07
user_6,2023-01-07
user_60,2023-01-07
user_61,2023-01-07
user_62,2023-01-07
user_63,2023-01-07
user_64,2023-01-07
user_65,2023-01-07
user_66,2023-01-07
user_67,2023-01-07
user_70,2023-01-07
user_71,2023-01-07
user_72,2023-01-07
user_73,2023-01-07
user_74,2023-01-07
user_75,2023-01-07
user_76,2023-01-07
user_77,2023-01-07
user_78,2023-01-07
user_79,2023-01-07
user_80,2023-01-07
user_12,2023-01-08
user_20,2023-01-08
user_26,2023-01-08
user_28,2023-01-08
