user,date
user_50,2023-01-01
user_19,2023-01-01
user_13,2023-01-01
user_50,2023-01-01
user_16,2023-01-01
user_4,2023-01-01
user_25,2023-01-01
user_7,2023-01-01
user_16,2023-01-01
user_22,2023-01-01
user_14,2023-01-01
user_29,2023-01-01
user_2,2023-01-02
user_21,2023-01-02
user_7,2023-01-02
user_6,2023-01-02
user_25,2023-01-02
user_26,2023-01-03
user_27,2023-01-03
user_12,2023-01-03
user_20,2023-01-04
user_19,2023-01-04
user_10,2023-01-04
user_23,2023-01-04
user_21,2023-01-04
user_14,2023-01-04
user_10,2023-01-04
user_15,2023-01-04
user_19,2023-01-05
user_3,2023-01-05
user_20,2023-01-05
user_5,2023-01-05
user_22,2023-01-05
user_10,2023-01-05
user_10,2023-01-05
user_27,2023-01-05
user_17,2023-01-05
user_15,2023-01-05
user_29,2023-01-05
user_28,2023-01-06
user_27,2023-01-06
user_8,2023-01-06
user_28,2023-01-06
user_22,2023-01-06
user_1,2023-01-07
user_8,2023-01-07
user_7,2023-01-07
user_22,2023-01-07
user_14,2023-01-07
user_28,2023-01-07
user_11,2023-01-07
user_24,2023-01-07
user_16,2023-01-07
user_3,2023-01-08
user_6,2023-01-08
user_23,2023-01-08
user_8,2023-01-08
user_16,2023-01-08
user_15,2023-01-08
user_0,2023-01-08
user_5,2023-01-08
user_27,2023-01-08
user_4,2023-01-09
user_20,2023-01-09
user_12,2023-01-09
user_14,2023-01-09
user_4,2023-01-09
user_5,2023-01-09
user_12,2023-01-09
user_9,2023-01-09
user_10,2023-01-09
user_29,2023-01-09
user_16,2023-01-10
user_19,2023-01-10
user_18,2023-01-10
user_16,2023-01-11
user_14,2023-01-11
user_2,2023-01-11
user_7,2023-01-11
user_4,2023-01-11
user_2,2023-01-11
user_23,2023-01-11
user_1,2023-01-11
user_10,2023-01-11
user_18,2023-01-11
user_3,2023-01-12
user_4,2023-01-12
user_6,2023-01-12
user_5,2023-01-12
user_16,2023-01-12
user_24,2023-01-12
user_9,2023-01-12
user_19,2023-01-13
user_1,2023-01-13
user_8,2023-01-13
user_13,2023-01-13
user_16,2023-01-13
user_26,2023-01-13
user_9,2023-01-13
user_20,2023-01-13
user_19,2023-01-14
user_10,2023-01-14
user_20,2023-01-14
user_14,2023-01-14
user_4,2023-01-14
user_7,2023-01-14
user_4,2023-01-15
user_5,2023-01-15
user_26,2023-01-15
user_11,2023-01-15
user_28,2023-01-15
