client_id,gender,age,marital_status,job_position,credit_sum,credit_month,tariff_id,score_shk,education,living_region,monthly_income,credit_count,overdue_credit_count,open_account_flg
1,M,25,UNM,SPC,26389.0,10,1.32,0.584105,SCH,ОБЛ КУРСКАЯ,35000.0,2.0,0.0,1
2,F,37,MAR,SPC,19588.0,12,1.43,0.718935,SCH,РЕСПУБЛИКА ТАТАРСТАН,15000.0,0.0,0.0,1
3,F,28,UNM,SPC,53669.0,18,1.1,0.586015,GRD,МОСКВА Г,70000.0,4.0,0.0,1
4,M,34,MAR,SPC,26349.0,10,1.43,0.655703,SCH,СВЕРДЛОВСКАЯ ОБЛАСТЬ,42500.0,4.0,0.0,0
5,F,43,MAR,UMN,11589.0,10,1.1,0.271893,GRD,РЯЗАНСКАЯ ОБЛАСТЬ,20000.0,3.0,0.0,0
6,F,49,MAR,SPC,8850.0,12,1.4,0.459589,GRD,ТАТАРСТАН РЕСП,15000.0,1.0,0.0,0
7,M,25,UNM,SPC,73189.0,10,1.6,0.618724,SCH,ОБЛ КЕМЕРОВСКАЯ,58000.0,1.0,0.0,0
8,F,33,MAR,SPC,32466.0,18,1.1,0.446569,SCH,ПЕНЗЕНСКАЯ ОБЛ,27000.0,3.0,0.0,0
9,M,31,MAR,SPC,7019.0,12,1.44,0.531515,SCH,ОБЛ ЧЕЛЯБИНСКАЯ,50000.0,5.0,1.0,1
10,M,43,MAR,BIS,13958.0,10,1.1,0.319176,SCH,ОБЛ КУРГАНСКАЯ,30000.0,1.0,0.0,0
11,F,37,MAR,SPC,10638.0,12,1.6,0.597825,UGR,ОРЛОВСКАЯ ОБЛ,17000.0,1.0,0.0,0
12,M,34,MAR,SPC,27979.0,10,1.1,0.414219,SCH,ОБЛ МОСКОВСКАЯ,80000.0,2.0,0.0,0
13,M,42,MAR,SPC,9350.0,4,1.4,0.369292,GRD,ОБЛ КУРГАНСКАЯ,35000.0,1.0,0.0,0
14,F,43,UNM,SPC,83205.0,10,1.16,0.210875,GRD,РЕСП БАШКОРТОСТАН,500000.0,3.0,0.0,0
15,F,51,MAR,SPC,47342.0,10,1.32,0.335092,GRD,ХАНТЫ-МАНСИЙСКИЙ АО,30000.0,3.0,0.0,1
16,M,28,MAR,SPC,28049.0,9,1.6,0.50832,SCH,ПЕНЗЕНСКАЯ ОБЛ,30000.0,0.0,0.0,0
17,F,56,MAR,SPC,15892.0,10,1.32,0.450459,SCH,ОБЛ БРЯНСКАЯ,24000.0,1.0,0.0,1
18,F,49,DIV,UMN,15445.0,10,1.32,0.385707,SCH,ОБЛ НИЖЕГОРОДСКАЯ,31000.0,0.0,0.0,1
19,F,34,DIV,SPC,25754.0,10,1.32,0.351762,SCH,РЕСП. БАШКОРТОСТАН,25000.0,1.0,0.0,0
20,F,32,DIV,SPC,26089.0,10,1.6,0.605899,SCH,РЕСП КАРЕЛИЯ,25000.0,1.0,0.0,0
21,M,35,MAR,SPC,15671.0,10,1.32,0.279786,GRD,КРАЙ АЛТАЙСКИЙ,35000.0,1.0,0.0,1
22,M,40,MAR,SPC,15853.0,10,1.6,0.532777,SCH,РОСТОВСКАЯ ОБЛАСТЬ,30000.0,1.0,0.0,0
23,F,30,MAR,SPC,40888.0,10,1.6,0.584218,GRD,СВЕРДЛОВСКАЯ ОБЛ,25000.0,0.0,0.0,0
24,F,58,WID,WRK,18230.0,6,1.1,0.418661,GRD,ОБЛ МОСКОВСКАЯ,36000.0,2.0,0.0,1
25,M,45,MAR,SPC,11879.0,10,1.1,0.319315,SCH,ОБЛ ЛЕНИНГРАДСКАЯ,32000.0,1.0,0.0,0
26,M,21,UNM,SPC,29322.0,10,1.32,0.469589,SCH,СТАВРОПОЛЬСКИЙ КРАЙ,23000.0,0.0,0.0,0
27,M,30,UNM,SPC,34950.0,6,1.4,0.169589,GRD,САНКТ-ПЕТЕРБУРГ,60000.0,2.0,0.0,1
28,M,23,UNM,SPC,65990.0,12,1.44,0.547311,UGR,ОБЛ КУРСКАЯ,40000.0,2.0,0.0,0
29,M,32,UNM,SPC,25645.5,10,1.23,0.294486,GRD,ОБЛ МУРМАНСКАЯ,100000.0,3.0,0.0,0
30,M,40,MAR,SPC,54189.0,10,1.4,0.543222,SCH,СМОЛЕНСКАЯ ОБЛ,80000.0,0.0,0.0,0
31,F,33,UNM,SPC,27817.0,10,1.1,0.376031,GRD,ХАНТЫ-МАНСИЙСКИЙ АО,45000.0,1.0,0.0,0
32,M,35,DIV,SPC,55990.0,12,1.1,0.416051,GRD,ОБЛ НИЖЕГОРОДСКАЯ,42000.0,3.0,0.0,0
33,M,25,MAR,SPC,43289.0,12,1.44,0.59864,GRD,МОСКВА,48000.0,1.0,0.0,0
34,F,29,DIV,UMN,42467.0,10,1.1,0.296442,GRD,МОСКВА,46000.0,1.0,0.0,1
35,M,37,MAR,DIR,29691.0,12,1.4,0.611403,GRD,СВЕРДЛОВСКАЯ ОБЛ,40000.0,2.0,0.0,0
36,M,28,UNM,SPC,14817.0,12,1.6,0.605659,SCH,САРАТОВСКАЯ ОБЛ,35000.0,0.0,0.0,0
37,F,34,UNM,SPC,8091.0,12,1.1,0.542185,SCH,ОБЛ ИРКУТСКАЯ,20000.0,2.0,0.0,0
38,F,30,DIV,SPC,8976.67,10,1.6,0.597689,SCH,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,20000.0,0.0,0.0,0
39,M,41,UNM,SPC,14391.0,7,1.4,0.18803,GRD,МОСКВА Г,40000.0,2.0,0.0,0
40,M,45,MAR,SPC,19784.0,10,1.32,0.471225,GRD,ОБЛ ИРКУТСКАЯ,30000.0,0.0,0.0,1
41,M,48,MAR,SPC,51980.0,24,1.9,0.210745,GRD,РЕСП БАШКОРТОСТАН,12000.0,4.0,0.0,0
42,F,24,UNM,SPC,12062.19,12,1.6,0.714815,SCH,КРАСНОЯРСКИЙ КРАЙ,25000.0,,,0
43,F,27,DIV,SPC,18248.0,10,1.43,0.709798,UGR,ОБЛ НОВГОРОДСКАЯ,45000.0,12.0,0.0,0
44,F,30,UNM,SPC,79078.0,10,1.6,0.680754,GRD,МОСКВА,70000.0,2.0,0.0,0
45,F,37,CIV,SPC,14966.0,14,1.9,0.583119,SCH,САНКТ-ПЕТЕРБУРГ,30000.0,3.0,0.0,0
46,M,37,MAR,SPC,31458.0,12,1.6,0.553252,SCH,САМАРСКАЯ ОБЛ,50000.0,6.0,0.0,0
47,M,28,UNM,SPC,21443.0,10,1.32,0.476273,SCH,РЕСП БАШКОРТОСТАН,15000.0,4.0,0.0,1
48,F,42,MAR,SPC,26089.0,10,1.1,0.453849,SCH,ОБЛ ВЛАДИМИРСКАЯ,25000.0,2.0,0.0,0
49,F,24,UNM,UMN,35368.0,16,1.1,0.616134,UGR,РЕСПУБЛИКА ТАТАРСТАН,20000.0,0.0,0.0,0
50,F,31,UNM,SPC,12968.0,10,1.6,0.586547,GRD,ЯРОСЛАВСКАЯ ОБЛ,17000.0,2.0,1.0,0
51,M,30,MAR,DIR,51381.0,12,1.6,0.299149,GRD,ОБЛ МОСКОВСКАЯ,160000.0,3.0,0.0,0
52,F,49,MAR,SPC,15329.0,15,1.1,0.544476,SCH,ОБЛ ИВАНОВСКАЯ,13000.0,0.0,0.0,0
53,M,30,UNM,SPC,41389.0,13,1.1,0.50564,GRD,КРАСНОДАРСКИЙ КРАЙ,50000.0,3.0,0.0,1
54,M,27,MAR,SPC,17098.89,10,1.1,0.489823,UGR,РОСТОВСКАЯ ОБЛАСТЬ,35000.0,2.0,0.0,0
55,F,45,DIV,SPC,40482.0,10,1.2,0.578206,SCH,ОБЛ САМАРСКАЯ,25000.0,2.0,0.0,0
56,M,45,DIV,UMN,48469.0,10,1.1,0.448876,GRD,ОБЛ МОСКОВСКАЯ,88000.0,1.0,0.0,0
57,F,26,MAR,UMN,22398.89,10,1.43,0.704345,SCH,САХА /ЯКУТИЯ/ РЕСП,30000.0,4.0,0.0,0
58,F,59,MAR,UMN,19270.0,14,1.9,0.291315,GRD,РЕСП БАШКОРТОСТАН,48000.0,2.0,0.0,0
59,F,27,UNM,SPC,80868.0,10,1.1,0.379011,GRD,ЯРОСЛАВСКАЯ ОБЛ,55000.0,5.0,0.0,0
60,M,26,MAR,SPC,88769.0,12,1.6,0.534615,GRD,КРАСНОДАРСКИЙ КРАЙ,40000.0,0.0,0.0,0
61,M,45,DIV,UMN,15918.0,10,1.1,0.456141,SCH,РЕСП МАРИЙ ЭЛ,40000.0,2.0,0.0,1
62,M,31,MAR,SPC,22219.0,10,1.6,0.623013,SCH,ОБЛ ИРКУТСКАЯ,50000.0,2.0,0.0,0
63,M,33,MAR,UMN,39500.0,12,1.1,0.695742,GRD,МОСКВА,120000.0,4.0,0.0,1
64,F,24,MAR,SPC,14524.0,12,1.6,0.747612,GRD,ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП,16500.0,2.0,0.0,0
65,M,26,MAR,SPC,18889.0,10,1.6,0.508216,GRD,ОБЛ НИЖЕГОРОДСКАЯ,33000.0,3.0,0.0,0
66,F,30,MAR,SPC,14908.0,10,1.1,0.453108,GRD,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,35000.0,1.0,0.0,0
67,F,38,CIV,SPC,7000.0,12,1.6,0.595425,SCH,ХАКАСИЯ РЕСП,20000.0,4.0,0.0,0
68,F,34,CIV,SPC,8169.66,6,1.9,0.364085,SCH,КРАЙ СТАВРОПОЛЬСКИЙ,20000.0,2.0,0.0,0
69,F,27,UNM,SPC,55669.0,10,1.1,0.423991,GRD,ОБЛ НОВОСИБИРСКАЯ,25000.0,4.0,0.0,0
70,F,21,UNM,SPC,23588.0,10,1.6,0.586826,SCH,РЕСП БАШКОРТОСТАН,15000.0,,,1
71,F,25,UNM,SPC,21910.0,10,1.4,0.528257,GRD,ОБЛ КУРСКАЯ,25000.0,1.0,0.0,0
72,F,49,WID,SPC,10180.0,10,1.6,0.618026,SCH,РОСТОВСКАЯ ОБЛАСТЬ,15000.0,2.0,0.0,0
73,M,25,UNM,SPC,22990.0,12,1.4,0.345102,SCH,ТАТАРСТАН РЕСП,20000.0,1.0,0.0,1
74,M,32,UNM,SPC,37811.0,10,1.32,0.517252,SCH,ОБЛ МОСКОВСКАЯ,30000.0,1.0,0.0,0
75,M,27,UNM,SPC,47478.0,10,1.6,0.715957,UGR,САНКТ-ПЕТЕРБУРГ,60000.0,2.0,0.0,0
76,F,38,UNM,UMN,47578.0,10,1.6,0.695872,GRD,ТАТАРСТАН РЕСП,60000.0,2.0,0.0,0
77,M,32,MAR,UMN,23391.0,12,1.1,0.289952,GRD,ОБЛ НИЖЕГОРОДСКАЯ,35000.0,0.0,0.0,0
78,F,30,MAR,SPC,18917.05,12,1.1,0.364828,SCH,КРАСНОДАРСКИЙ КРАЙ,23000.0,1.0,0.0,1
79,F,46,MAR,SPC,12669.0,10,1.6,0.657592,SCH,ОБЛ АРХАНГЕЛЬСКАЯ,65000.0,7.0,0.0,0
80,M,40,MAR,SPC,17021.11,10,1.6,0.625434,SCH,ОБЛ ЛЕНИНГРАДСКАЯ,37000.0,1.0,0.0,0
81,M,24,UNM,SPC,21669.0,24,1.0,0.502621,SCH,ОБЛ САМАРСКАЯ,30000.0,2.0,1.0,0
82,F,44,MAR,SPC,13935.0,10,1.6,0.391722,SCH,ПЕРМСКИЙ КРАЙ,20000.0,2.0,0.0,0
83,M,24,UNM,SPC,42522.0,24,1.0,0.521115,SCH,РЕСП БАШКОРТОСТАН,24000.0,0.0,0.0,0
84,M,54,MAR,SPC,73898.0,10,1.6,0.551416,SCH,КРАСНОЯРСКИЙ КРАЙ,150000.0,0.0,0.0,0
85,F,25,UNM,SPC,50379.0,10,1.44,0.618904,SCH,ОБЛ МОСКОВСКАЯ,35000.0,1.0,0.0,1
86,M,28,UNM,SPC,14020.0,10,1.4,0.587273,GRD,СВЕРДЛОВСКАЯ ОБЛ,30000.0,3.0,1.0,0
87,F,22,UNM,SPC,22490.0,6,1.9,0.638171,GRD,ОБЛ АСТРАХАНСКАЯ,20000.0,1.0,0.0,0
88,M,54,UNM,UMN,24549.0,12,1.4,0.332486,GRD,РЕСП КОМИ,58000.0,3.0,0.0,0
