features,n_features,score
"['HasOnlineBackup', 'TotalSpent', 'HasInternetService', 'PaymentMethod', 'NotAlone', 'IsBillingPaperless', 'HasPartner', 'ClientPeriod', 'HasOnlineSecurityService', 'HasContractPhone', 'HasChild', 'HasTechSupportAccess', 'IsSeniorCitizen', 'IsAloneSenior', 'ClientPeriodGroup']",15,0.8432607101284475
"['IsSeniorCitizen', 'MonthlySpending', 'HasTechSupportAccess', 'PaymentMethod', 'HasOnlineSecurityService', 'ClientPeriodGroup', 'HasInternetService', 'AverageMonthlySpend', 'HasContractPhone', 'TotalSpent', 'ClientPeriod', 'HasOnlineBackup', 'IsBillingPaperless', 'HasChild', 'HasPartner']",15,0.8431777249962433
"['IsSeniorCitizen', 'HasTechSupportAccess', 'HasContractPhone', 'IsBillingPaperless', 'HasPartner', 'NotAlone', 'TotalSpent', 'HasChild', 'AverageMonthlySpend', 'HasOnlineTV', 'HasInternetService', 'PaymentMethod', 'ClientPeriod', 'MonthlySpending', 'HasOnlineSecurityService', 'ClientPeriodGroup', 'HasOnlineBackup']",17,0.8430027833661909
"['IsSeniorCitizen', 'MonthlySpending', 'PaymentMethod', 'HasOnlineTV', 'HasOnlineSecurityService', 'IsBillingPaperless', 'HasChild', 'HasInternetService', 'HasTechSupportAccess', 'HasOnlineBackup', 'AverageMonthlySpend', 'HasContractPhone', 'ClientPeriod', 'ClientPeriodGroup', 'IsAloneSenior', 'TotalSpent', 'HasPartner']",17,0.8429590479586778
"['HasInternetService', 'HasContractPhone', 'AverageMonthlySpend', 'TotalSpent', 'HasOnlineSecurityService', 'IsSeniorCitizen', 'PaymentMethod', 'HasPartner', 'ClientPeriod', 'HasChild', 'ClientPeriodGroup', 'MonthlySpending', 'IsBillingPaperless', 'IsAloneSenior', 'NotAlone', 'HasOnlineBackup', 'HasTechSupportAccess']",17,0.8429517587240923
"['HasChild', 'NotAlone', 'HasTechSupportAccess', 'PaymentMethod', 'HasPartner', 'ClientPeriodGroup', 'HasContractPhone', 'IsBillingPaperless', 'TotalSpent', 'AverageMonthlySpend', 'IsAloneSenior', 'MonthlySpending', 'HasInternetService', 'HasOnlineBackup', 'HasOnlineTV', 'ClientPeriod', 'IsSeniorCitizen', 'HasOnlineSecurityService']",18,0.8429052197648157
"['HasPartner', 'IsBillingPaperless', 'TotalSpent', 'IsSeniorCitizen', 'HasTechSupportAccess', 'ClientPeriod', 'MonthlySpending', 'HasOnlineTV', 'HasOnlineSecurityService', 'AverageMonthlySpend', 'HasContractPhone', 'ClientPeriodGroup', 'IsAloneSenior', 'PaymentMethod', 'HasInternetService']",15,0.8428544754778935
"['HasOnlineBackup', 'HasContractPhone', 'HasChild', 'HasInternetService', 'HasTechSupportAccess', 'IsAloneSenior', 'MonthlySpending', 'HasPartner', 'IsSeniorCitizen', 'IsBillingPaperless', 'PaymentMethod', 'ClientPeriod', 'TotalSpent', 'HasOnlineSecurityService', 'ClientPeriodGroup']",15,0.8428345702603713
"['HasOnlineSecurityService', 'IsAloneSenior', 'ClientPeriodGroup', 'HasPartner', 'TotalSpent', 'IsSeniorCitizen', 'HasOnlineTV', 'IsBillingPaperless', 'HasContractPhone', 'PaymentMethod', 'HasInternetService', 'ClientPeriod', 'HasTechSupportAccess', 'HasOnlineBackup']",14,0.8428286828016679
"['HasOnlineSecurityService', 'HasPartner', 'HasOnlineTV', 'IsBillingPaperless', 'IsAloneSenior', 'ClientPeriod', 'ClientPeriodGroup', 'HasTechSupportAccess', 'MonthlySpending', 'HasContractPhone', 'HasOnlineBackup', 'NotAlone', 'TotalSpent', 'AverageMonthlySpend', 'HasInternetService', 'IsSeniorCitizen', 'PaymentMethod']",17,0.8428160668187313
"['HasTechSupportAccess', 'HasOnlineBackup', 'MonthlySpending', 'HasContractPhone', 'ClientPeriod', 'HasInternetService', 'HasOnlineTV', 'IsBillingPaperless', 'NotAlone', 'TotalSpent', 'ClientPeriodGroup', 'IsSeniorCitizen', 'PaymentMethod', 'IsAloneSenior', 'HasOnlineSecurityService']",15,0.8428160668187313
"['TotalSpent', 'ClientPeriod', 'AverageMonthlySpend', 'HasOnlineSecurityService', 'IsSeniorCitizen', 'HasOnlineBackup', 'PaymentMethod', 'HasTechSupportAccess', 'NotAlone', 'IsBillingPaperless', 'ClientPeriodGroup', 'HasChild', 'HasPartner', 'HasContractPhone']",14,0.8428132632669678
"['HasOnlineSecurityService', 'HasOnlineTV', 'HasTechSupportAccess', 'MonthlySpending', 'PaymentMethod', 'TotalSpent', 'IsSeniorCitizen', 'IsBillingPaperless', 'HasInternetService', 'HasContractPhone', 'ClientPeriod', 'NotAlone', 'AverageMonthlySpend', 'ClientPeriodGroup']",14,0.8428104597152041
"['IsBillingPaperless', 'ClientPeriodGroup', 'HasPartner', 'HasInternetService', 'PaymentMethod', 'HasChild', 'IsAloneSenior', 'HasContractPhone', 'HasOnlineSecurityService', 'HasTechSupportAccess', 'ClientPeriod', 'HasOnlineBackup', 'NotAlone', 'TotalSpent']",14,0.8428098990048513
"['ClientPeriod', 'NotAlone', 'PaymentMethod', 'AverageMonthlySpend', 'ClientPeriodGroup', 'IsAloneSenior', 'MonthlySpending', 'HasContractPhone', 'HasOnlineTV', 'HasTechSupportAccess', 'HasInternetService', 'IsBillingPaperless', 'TotalSpent', 'IsSeniorCitizen', 'HasOnlineSecurityService']",15,0.8428037311909712
"['IsBillingPaperless', 'HasContractPhone', 'HasInternetService', 'NotAlone', 'TotalSpent', 'ClientPeriodGroup', 'ClientPeriod', 'HasChild', 'HasOnlineSecurityService', 'PaymentMethod', 'HasOnlineTV', 'HasTechSupportAccess', 'IsSeniorCitizen', 'HasOnlineBackup', 'IsAloneSenior', 'HasPartner']",16,0.8427964419563857
"['IsBillingPaperless', 'HasContractPhone', 'ClientPeriodGroup', 'ClientPeriod', 'PaymentMethod', 'HasInternetService', 'TotalSpent', 'HasOnlineSecurityService', 'HasTechSupportAccess', 'HasOnlineBackup', 'IsSeniorCitizen', 'MonthlySpending']",12,0.8427964419563857
"['IsSeniorCitizen', 'HasInternetService', 'HasOnlineTV', 'MonthlySpending', 'HasChild', 'ClientPeriodGroup', 'TotalSpent', 'HasPartner', 'HasOnlineSecurityService', 'HasContractPhone', 'HasTechSupportAccess', 'PaymentMethod', 'HasOnlineBackup', 'IsBillingPaperless', 'ClientPeriod']",15,0.8427863491700366
"['ClientPeriod', 'PaymentMethod', 'MonthlySpending', 'HasMovieSubscription', 'IsSeniorCitizen', 'ClientPeriodGroup', 'HasContractPhone', 'NotAlone', 'HasPartner', 'HasChild', 'TotalSpent', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'IsBillingPaperless', 'AverageMonthlySpend', 'HasInternetService', 'HasOnlineTV']",17,0.8427723314112182
"['ClientPeriod', 'HasInternetService', 'HasOnlineSecurityService', 'IsBillingPaperless', 'ClientPeriodGroup', 'HasOnlineBackup', 'HasContractPhone', 'HasTechSupportAccess', 'PaymentMethod', 'NotAlone', 'IsSeniorCitizen', 'HasPartner', 'IsAloneSenior', 'MonthlySpending', 'TotalSpent']",15,0.8427487815764035
"['HasChild', 'IsSeniorCitizen', 'HasTechSupportAccess', 'PaymentMethod', 'MonthlySpending', 'ClientPeriodGroup', 'IsBillingPaperless', 'HasOnlineBackup', 'NotAlone', 'IsAloneSenior', 'HasOnlineTV', 'HasOnlineSecurityService', 'HasInternetService', 'ClientPeriod', 'TotalSpent', 'HasContractPhone']",16,0.8427252317415888
"['HasChild', 'HasTechSupportAccess', 'MonthlySpending', 'ClientPeriodGroup', 'TotalSpent', 'PaymentMethod', 'ClientPeriod', 'IsBillingPaperless', 'HasInternetService', 'NotAlone', 'HasOnlineTV', 'HasContractPhone', 'HasOnlineBackup', 'IsSeniorCitizen', 'HasOnlineSecurityService', 'IsAloneSenior', 'HasPartner']",17,0.8427196246380615
"['ClientPeriod', 'HasInternetService', 'IsAloneSenior', 'HasOnlineTV', 'HasPartner', 'IsBillingPaperless', 'HasChild', 'PaymentMethod', 'HasContractPhone', 'ClientPeriodGroup', 'HasOnlineSecurityService', 'AverageMonthlySpend', 'HasOnlineBackup', 'MonthlySpending', 'HasTechSupportAccess', 'TotalSpent']",16,0.8427134568241814
"['ClientPeriodGroup', 'AverageMonthlySpend', 'ClientPeriod', 'HasPartner', 'PaymentMethod', 'TotalSpent', 'HasContractPhone', 'HasOnlineTV', 'HasChild', 'HasInternetService', 'HasMovieSubscription', 'MonthlySpending', 'IsBillingPaperless', 'HasTechSupportAccess', 'IsSeniorCitizen', 'NotAlone', 'IsAloneSenior', 'HasOnlineSecurityService']",18,0.8426971962239521
"['ClientPeriodGroup', 'IsBillingPaperless', 'ClientPeriod', 'HasContractPhone', 'PaymentMethod', 'HasPartner', 'HasOnlineSecurityService', 'NotAlone', 'HasInternetService', 'IsAloneSenior', 'HasTechSupportAccess', 'HasOnlineBackup', 'TotalSpent']",13,0.8426736463891373
"['HasContractPhone', 'TotalSpent', 'MonthlySpending', 'HasTechSupportAccess', 'ClientPeriodGroup', 'IsAloneSenior', 'IsSeniorCitizen', 'HasInternetService', 'HasOnlineSecurityService', 'IsBillingPaperless', 'ClientPeriod', 'NotAlone', 'PaymentMethod', 'HasOnlineTV', 'HasPartner']",15,0.8426635536027883
"['HasTechSupportAccess', 'IsSeniorCitizen', 'PaymentMethod', 'HasMovieSubscription', 'HasOnlineTV', 'IsAloneSenior', 'HasPartner', 'ClientPeriodGroup', 'HasContractPhone', 'ClientPeriod', 'TotalSpent', 'NotAlone', 'HasInternetService', 'MonthlySpending', 'IsBillingPaperless', 'HasOnlineSecurityService', 'AverageMonthlySpend']",17,0.8426613107613775
"['ClientPeriodGroup', 'PaymentMethod', 'HasOnlineBackup', 'NotAlone', 'ClientPeriod', 'HasOnlineTV', 'AverageMonthlySpend', 'TotalSpent', 'IsSeniorCitizen', 'HasPartner', 'HasChild', 'HasTechSupportAccess', 'IsBillingPaperless', 'HasOnlineSecurityService', 'HasContractPhone', 'IsAloneSenior', 'HasInternetService']",17,0.8426579464992611
"['AverageMonthlySpend', 'HasOnlineSecurityService', 'NotAlone', 'HasOnlineTV', 'HasMovieSubscription', 'IsAloneSenior', 'IsBillingPaperless', 'TotalSpent', 'PaymentMethod', 'IsSeniorCitizen', 'HasContractPhone', 'HasInternetService', 'HasChild', 'ClientPeriod', 'ClientPeriodGroup', 'HasTechSupportAccess', 'MonthlySpending']",17,0.8426444894507954
"['HasInternetService', 'HasOnlineBackup', 'MonthlySpending', 'HasTechSupportAccess', 'IsSeniorCitizen', 'HasContractPhone', 'NotAlone', 'HasOnlineSecurityService', 'TotalSpent', 'HasPartner', 'HasMovieSubscription', 'HasOnlineTV', 'PaymentMethod', 'ClientPeriodGroup', 'ClientPeriod', 'AverageMonthlySpend', 'IsBillingPaperless']",17,0.8426383216369153
"['PaymentMethod', 'ClientPeriod', 'MonthlySpending', 'HasPartner', 'HasOnlineTV', 'IsSeniorCitizen', 'ClientPeriodGroup', 'HasInternetService', 'HasTechSupportAccess', 'TotalSpent', 'HasContractPhone', 'HasMovieSubscription', 'HasChild', 'AverageMonthlySpend', 'HasOnlineSecurityService', 'HasOnlineBackup', 'NotAlone', 'IsAloneSenior', 'IsBillingPaperless']",19,0.8426198181952752
"['AverageMonthlySpend', 'IsBillingPaperless', 'HasOnlineTV', 'MonthlySpending', 'HasTechSupportAccess', 'TotalSpent', 'ClientPeriod', 'HasContractPhone', 'PaymentMethod', 'ClientPeriodGroup', 'HasOnlineSecurityService', 'HasMovieSubscription', 'IsSeniorCitizen', 'IsAloneSenior', 'HasInternetService', 'HasPartner']",16,0.842606641501986
"['ClientPeriodGroup', 'HasOnlineBackup', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'IsAloneSenior', 'HasContractPhone', 'MonthlySpending', 'NotAlone', 'IsBillingPaperless', 'HasInternetService', 'PaymentMethod', 'AverageMonthlySpend', 'ClientPeriod', 'HasChild', 'HasPartner', 'HasOnlineTV', 'TotalSpent']",17,0.8426007540432824
"['NotAlone', 'HasContractPhone', 'ClientPeriod', 'HasInternetService', 'TotalSpent', 'AverageMonthlySpend', 'IsBillingPaperless', 'HasOnlineSecurityService', 'PaymentMethod', 'ClientPeriodGroup', 'HasOnlineBackup', 'HasTechSupportAccess', 'HasPartner', 'IsAloneSenior', 'HasChild']",15,0.8426001933329296
"['HasMovieSubscription', 'PaymentMethod', 'MonthlySpending', 'ClientPeriod', 'HasInternetService', 'IsBillingPaperless', 'IsAloneSenior', 'HasContractPhone', 'TotalSpent', 'ClientPeriodGroup', 'NotAlone', 'AverageMonthlySpend', 'HasOnlineTV', 'HasOnlineBackup', 'HasOnlineSecurityService', 'IsSeniorCitizen', 'HasPartner', 'HasTechSupportAccess']",18,0.8425985112018716
"['HasInternetService', 'MonthlySpending', 'ClientPeriodGroup', 'HasOnlineTV', 'NotAlone', 'HasPartner', 'HasContractPhone', 'HasTechSupportAccess', 'IsSeniorCitizen', 'HasOnlineBackup', 'AverageMonthlySpend', 'HasMovieSubscription', 'IsBillingPaperless', 'PaymentMethod', 'HasOnlineSecurityService', 'TotalSpent', 'ClientPeriod', 'HasChild']",18,0.8425957076501077
"['ClientPeriod', 'PaymentMethod', 'MonthlySpending', 'AverageMonthlySpend', 'ClientPeriodGroup', 'HasTechSupportAccess', 'HasOnlineBackup', 'HasChild', 'IsBillingPaperless', 'HasInternetService', 'TotalSpent', 'HasOnlineSecurityService', 'IsAloneSenior', 'HasPartner', 'HasContractPhone', 'NotAlone']",16,0.8425934648086968
"['HasOnlineTV', 'HasInternetService', 'ClientPeriodGroup', 'IsSeniorCitizen', 'HasMovieSubscription', 'ClientPeriod', 'AverageMonthlySpend', 'IsBillingPaperless', 'HasContractPhone', 'PaymentMethod', 'HasChild', 'MonthlySpending', 'HasPartner', 'HasOnlineSecurityService', 'HasOnlineBackup', 'TotalSpent', 'HasTechSupportAccess']",17,0.8425844934430531
"['TotalSpent', 'ClientPeriodGroup', 'HasInternetService', 'HasChild', 'HasContractPhone', 'HasOnlineSecurityService', 'HasOnlineBackup', 'ClientPeriod', 'PaymentMethod', 'HasTechSupportAccess', 'IsBillingPaperless', 'AverageMonthlySpend', 'NotAlone', 'IsAloneSenior']",14,0.842582811311995
"['IsAloneSenior', 'HasPartner', 'HasMovieSubscription', 'ClientPeriod', 'HasContractPhone', 'HasInternetService', 'TotalSpent', 'IsSeniorCitizen', 'HasTechSupportAccess', 'AverageMonthlySpend', 'ClientPeriodGroup', 'HasOnlineBackup', 'HasOnlineSecurityService', 'MonthlySpending', 'PaymentMethod', 'IsBillingPaperless', 'HasChild', 'HasOnlineTV']",18,0.8425564579254164
"['HasOnlineBackup', 'HasChild', 'TotalSpent', 'HasInternetService', 'HasOnlineSecurityService', 'IsAloneSenior', 'AverageMonthlySpend', 'HasOnlineTV', 'HasTechSupportAccess', 'HasContractPhone', 'PaymentMethod', 'HasMovieSubscription', 'ClientPeriod', 'ClientPeriodGroup', 'MonthlySpending', 'IsSeniorCitizen', 'IsBillingPaperless']",17,0.8425511311770656
"['IsBillingPaperless', 'PaymentMethod', 'IsSeniorCitizen', 'HasContractPhone', 'HasInternetService', 'TotalSpent', 'ClientPeriodGroup', 'AverageMonthlySpend', 'HasOnlineSecurityService', 'ClientPeriod', 'HasPartner', 'HasOnlineTV', 'HasTechSupportAccess', 'HasChild']",14,0.8425480472701256
"['IsAloneSenior', 'AverageMonthlySpend', 'TotalSpent', 'HasOnlineTV', 'HasChild', 'HasInternetService', 'PaymentMethod', 'HasMovieSubscription', 'HasOnlineBackup', 'ClientPeriod', 'IsBillingPaperless', 'IsSeniorCitizen', 'ClientPeriodGroup', 'MonthlySpending', 'NotAlone', 'HasOnlineSecurityService', 'HasContractPhone', 'HasTechSupportAccess']",18,0.8425368330630709
"['TotalSpent', 'HasOnlineSecurityService', 'HasMovieSubscription', 'HasTechSupportAccess', 'PaymentMethod', 'ClientPeriodGroup', 'HasPartner', 'NotAlone', 'IsSeniorCitizen', 'HasContractPhone', 'HasInternetService', 'MonthlySpending', 'HasOnlineTV', 'IsBillingPaperless', 'ClientPeriod']",15,0.8425295438284853
"['TotalSpent', 'HasMovieSubscription', 'HasOnlineSecurityService', 'AverageMonthlySpend', 'HasInternetService', 'ClientPeriod', 'HasTechSupportAccess', 'HasOnlineBackup', 'ClientPeriodGroup', 'PaymentMethod', 'IsAloneSenior', 'IsBillingPaperless', 'NotAlone', 'IsSeniorCitizen', 'MonthlySpending', 'HasOnlineTV', 'HasContractPhone']",17,0.8425211331731944
"['MonthlySpending', 'IsBillingPaperless', 'HasInternetService', 'IsSeniorCitizen', 'HasMovieSubscription', 'HasPartner', 'ClientPeriodGroup', 'HasTechSupportAccess', 'TotalSpent', 'HasOnlineSecurityService', 'PaymentMethod', 'IsAloneSenior', 'ClientPeriod', 'NotAlone', 'HasOnlineTV', 'HasContractPhone']",16,0.8425194510421362
"['HasOnlineTV', 'HasMovieSubscription', 'AverageMonthlySpend', 'HasOnlineBackup', 'HasContractPhone', 'IsAloneSenior', 'MonthlySpending', 'IsBillingPaperless', 'PaymentMethod', 'IsSeniorCitizen', 'TotalSpent', 'HasTechSupportAccess', 'HasInternetService', 'ClientPeriod', 'ClientPeriodGroup', 'HasOnlineSecurityService']",16,0.8425132832282562
