Model,Min_loss,Max_accuracy,Diff_accuracy
lstm_mean_hd512_nl1_drop0.3,0.02908415377609102,0.9221999645233154,0.013000011444091797
lstm_mean_hd384_nl1_drop0.3,0.02676326828810755,0.9210000038146973,0.011800050735473633
lstm_mean_last_concat_hd384_nl2_drop0.0,0.02968568594705139,0.9210000038146973,0.011800050735473633
lstm_mean_hd512_nl1_drop0.0,0.02868036559293056,0.920799970626831,0.011600017547607422
lstm_mean_hd384_nl3_drop0.2,0.04345882507713977,0.9205999970436096,0.011400043964385986
lstm_mean_hd256_nl3_drop0.2,0.04685459932979817,0.9203999638557434,0.011200010776519775
lstm_max_hd512_nl3_drop0.0,0.0433278988996443,0.920199990272522,0.01660001277923584
lstm_mean_hd384_nl3_drop0.1,0.039177799697949864,0.9195999503135681,0.010399997234344482
lstm_mean_last_concat_hd512_nl2_drop0.3,0.03949849406838378,0.9195999503135681,0.010399997234344482
lstm_max_hd512_nl2_drop0.3,0.05590390976165266,0.9193999767303467,0.015799999237060547
lstm_mean_hd512_nl3_drop0.1,0.03924651684230193,0.9192000031471252,0.010000050067901611
lstm_mean_hd512_nl1_drop0.3_adamW_wd01,0.03105966091055258,0.9192000031471252,0.010000050067901611
lstm_max_hd384_nl3_drop0.3,0.060814796560412894,0.918999969959259,0.0153999924659729
lstm_mean_last_concat_hd384_nl2_drop0.3,0.04017420142901052,0.9187999963760376,0.009600043296813965
lstm_mean_last_concat_hd384_nl3_drop0.1,0.04032680914645316,0.9187999963760376,0.009600043296813965
lstm_max_hd384_nl2_drop0.2,0.04723496964822213,0.9187999963760376,0.015200018882751465
lstm_mean_hd512_nl1_drop0.3_adamW_wd03,0.03256356929507165,0.91839998960495,0.009200036525726318
lstm_mean_hd384_nl2_drop0.2,0.035513271701997536,0.91839998960495,0.009200036525726318
lstm_mean_last_concat_hd512_nl3_drop0.1,0.03877095696607915,0.91839998960495,0.009200036525726318
lstm_mean_hd384_nl2_drop0.3,0.03861738263329995,0.91839998960495,0.009200036525726318
lstm_mean_hd512_nl2_drop0.1,0.03144439901913768,0.91839998960495,0.009200036525726318
lstm_mean_last_concat_hd384_nl3_drop0.3,0.04755922387603981,0.9181999564170837,0.009000003337860107
lstm_mean_hd512_nl3_drop0.0,0.03726932032461434,0.9181999564170837,0.009000003337860107
lstm_mean_last_concat_hd512_nl2_drop0.1,0.033889996696077285,0.9179999828338623,0.008800029754638672
lstm_mean_last_concat_hd384_nl2_drop0.1,0.03320127328614277,0.9179999828338623,0.008800029754638672
lstm_max_hd512_nl3_drop0.3,0.06036441832178583,0.9179999828338623,0.014400005340576172
lstm_mean_hd256_nl1_drop0.3,0.02984739793720946,0.9179999828338623,0.008800029754638672
lstm_mean_last_concat_hd512_nl3_drop0.2,0.041030777340370694,0.9179999828338623,0.008800029754638672
lstm_mean_hd512_nl3_drop0.2,0.04133436188794051,0.9179999828338623,0.008800029754638672
lstm_max_hd256_nl3_drop0.1,0.05050991124080029,0.9179999828338623,0.014400005340576172
lstm_mean_hd512_nl1_drop0.1,0.02889381276429437,0.9179999828338623,0.008800029754638672
lstm_mean_hd512_nl1_drop0.2,0.02821908678192267,0.9177999496459961,0.008599996566772461
lstm_mean_last_concat_hd512_nl3_drop0.3,0.04690239924416722,0.9177999496459961,0.008599996566772461
lstm_mean_hd256_nl3_drop0.0,0.03948573317697349,0.9177999496459961,0.008599996566772461
lstm_max_hd512_nl2_drop0.0,0.03955540113459962,0.9177999496459961,0.014199972152709961
lstm_mean_last_concat_hd512_nl1_drop0.0,0.030101008551256383,0.9177999496459961,0.008599996566772461
lstm_max_hd384_nl3_drop0.2,0.054474438122784095,0.9175999760627747,0.013999998569488525
lstm_mean_hd384_nl1_drop0.0,0.027940939204223105,0.9175999760627747,0.008400022983551025
lstm_mean_hd512_nl2_drop0.0,0.03103225771835326,0.9175999760627747,0.008400022983551025
lstm_mean_hd512_nl2_drop0.3,0.038546270725195064,0.9174000024795532,0.00820004940032959
lstm_max_hd384_nl2_drop0.1,0.041121634854977794,0.9174000024795532,0.01380002498626709
lstm_mean_hd256_nl2_drop0.0,0.03203559651574663,0.9174000024795532,0.00820004940032959
lstm_mean_last_concat_hd256_nl1_drop0.3,0.031613795521048205,0.917199969291687,0.008000016212463379
lstm_mean_hd256_nl1_drop0.0,0.029531264595495304,0.917199969291687,0.008000016212463379
lstm_mean_hd256_nl2_drop0.2,0.03687689811994011,0.9169999957084656,0.007800042629241943
lstm_max_hd256_nl2_drop0.3,0.05660545907209938,0.9169999957084656,0.013400018215179443
lstm_mean_last_concat_hd256_nl2_drop0.0,0.03457817140338496,0.9169999957084656,0.007800042629241943
lstm_mean_last_concat_hd384_nl1_drop0.2,0.027519781710140037,0.9169999957084656,0.007800042629241943
lstm_mean_last_concat_hd384_nl3_drop0.0,0.03529569536021057,0.9169999957084656,0.007800042629241943
lstm_max_hd256_nl1_drop0.3,0.04612006841160667,0.9167999625205994,0.013199985027313232
