snapshot_month,client_id,n_contacts,n_success_calls,n_fail_calls,n_sms,n_emails,bal_min_30d,bal_max_30d,bal_avg_30d,amt_sum_30d,risk_score,engagement_score,days_since_last_txn,is_term_deposit,is_credit_active,is_mobile_app_user,is_salary_client,is_churn_this_month
2025-01,C000001,4,1,3,0,1,203245.53540033064,292810.7302890285,280167.0,250524.9530326474,0.9385527090157502,0.0007787658410143283,59,0,0,1,1,0
2025-01,C000002,2,1,1,1,0,21250.580915681487,56632.488469128235,33551.0,28462.598049874454,0.450499251969543,0.013264961159866528,88,1,1,1,0,0
2025-01,C000003,2,0,2,1,1,105965.41098816415,305753.1909022074,210261.0,28268.46060349802,0.8422847745949985,0.44975413336976566,73,1,1,1,0,1
2025-01,C000004,0,0,0,1,1,154668.94319408268,268393.9569334705,219851.0,93634.72915280303,0.1652669390630025,0.01563640674119393,8,1,0,0,1,0
2025-01,C000005,2,0,2,0,1,219860.56522244672,458849.6097689228,299366.0,224652.49886640254,0.27472179299006416,0.5612434258477011,46,1,1,1,1,0
2025-01,C000006,2,0,2,0,1,84262.61061555051,125247.67488210794,112687.0,86189.67934054731,0.5398410913016731,0.2030612247347694,12,0,0,0,1,0
2025-01,C000007,5,3,2,1,0,94372.02357785033,130430.27573691303,130376.0,63600.768934765976,0.30478125815802903,0.16465585314294173,26,0,0,0,0,0
2025-01,C000008,3,3,0,1,0,37520.29333853909,71213.2351379262,69172.0,53298.462521063164,0.5026790232288615,,0,0,0,1,1,0
2025-01,C000009,4,2,2,1,0,43506.45282714397,91079.15922833062,88202.0,66149.93331259822,0.6775643618422824,0.016587828927856152,66,1,0,0,1,0
2025-01,C000010,4,2,2,1,0,72093.71486243566,132363.1396752222,109512.0,130963.10868467878,0.9654193512887936,0.5582934536070976,31,0,0,1,1,0
2025-01,C000011,3,0,3,2,0,190748.67732385063,263944.8499650252,215090.0,93757.78399362313,0.4856137535862266,0.44842414298624733,60,0,1,0,0,0
2025-01,C000012,4,1,3,0,0,29429.545025492647,84538.86616524203,49333.0,39182.85801995526,0.7948113035416484,0.5026370931051921,27,0,1,0,1,0
2025-01,C000013,1,1,0,1,3,117812.02659015568,236189.70976345995,133373.0,138482.57311445303,0.2944488920695857,0.38509772860192526,86,0,0,1,1,0
2025-01,C000014,2,1,1,0,0,10675.640916285472,20272.394988314616,12729.0,11032.444703841642,0.7024840839871093,0.35949115121975517,41,1,1,1,1,0
2025-01,C000015,6,2,4,0,0,130994.88290749477,261033.12768885383,232229.0,274036.0204166129,0.8389335020693633,0.8604046183116753,48,0,1,1,0,0
2025-01,C000016,3,0,3,1,1,85358.9193958528,151629.02181669202,96476.0,14005.832722467341,0.39882090144479454,0.43352073758074205,57,0,0,1,1,0
2025-01,C000017,2,0,2,2,0,89808.55997842253,208126.87350188018,136415.0,79017.05032045896,0.7300393165618185,0.04771612769164879,25,0,1,0,0,1
2025-01,C000018,0,0,0,1,0,135236.99269210506,214950.67761715746,168319.0,102866.6746722007,0.6497736826427634,0.048058924197033726,68,1,0,0,1,0
2025-01,C000019,9,2,7,3,1,66869.53254071598,166238.62769591826,153836.0,18467.090048024984,0.0944429607559284,0.6830067734163568,80,0,0,1,0,0
2025-01,C000020,4,1,3,2,0,89105.13981231187,128237.56431821016,116352.0,43634.10528911143,0.5805440123439098,0.8671166072097221,36,0,1,1,0,0
2025-01,C000021,3,0,3,0,2,53519.52004536419,107676.58794251339,61163.0,44696.799706412996,0.6318372121697993,0.44844552197831977,11,0,1,1,1,0
2025-01,C000022,1,0,1,1,1,7782.952879458181,13645.281695640417,8801.0,8982.83096287944,0.8668687053108414,0.8384807637639851,45,1,0,1,1,1
2025-01,C000023,2,1,1,4,0,120859.17077136307,320940.39297297393,205196.0,76660.52175172509,0.3302525290190985,0.43445184448827134,44,0,0,0,0,1
2025-01,C000024,5,3,2,0,1,89289.5417820176,165691.94712337313,131695.0,19456.73277209815,0.924643330223596,0.9191157152786594,35,0,1,1,1,0
2025-01,C000025,4,1,3,3,0,35033.26280526565,63469.13842518203,48427.0,17062.489285278956,0.26593792496423896,0.36034509520526825,63,0,0,1,1,0
2025-01,C000026,1,0,1,2,1,110066.3628419868,303220.2579037211,228156.0,217971.6893126835,0.48037008186635466,0.9852860506655043,10,0,0,1,1,0
2025-01,C000027,3,2,1,4,2,21431.02552334923,49724.55336460894,40765.0,13368.898622994764,0.8782206674791923,0.7569991321722287,33,0,0,1,1,0
2025-01,C000028,5,1,4,0,1,59041.080350405035,148668.37029321733,83317.0,64062.16089630936,0.6366443216222826,0.5548156085422257,50,1,0,1,1,0
2025-01,C000029,5,1,4,2,0,135265.7369940101,275875.03440622595,260090.0,62881.35955891483,0.12804583895777244,0.15190269351229435,15,0,0,1,1,0
2025-01,C000030,2,0,2,0,0,16082.111711834183,55642.178861145665,38668.0,26598.396846562115,0.3559914842719861,0.8942172628959257,48,0,1,0,1,0
2025-01,C000031,3,1,2,2,0,58704.80859163245,182209.6936596643,113317.0,77553.28558732085,0.7205160613914648,0.06234136251124145,58,0,1,1,1,0
2025-01,C000032,1,0,1,0,0,58774.09270913076,180272.20441242176,143339.0,47673.52046236548,0.32749735217791465,0.11976213181925122,16,0,0,1,1,0
2025-01,C000033,5,2,3,2,0,80537.54228836576,136326.34641912158,114581.0,24286.671244850328,0.15285913918433203,0.24595772838450813,3,1,0,1,0,0
2025-01,C000034,1,1,0,4,1,224795.6568501653,436805.3926960813,277378.0,190985.9605272685,0.476619484126412,0.8385825587026248,4,0,0,1,1,0
